Date,ISRAEL LARGE GROWTH Large Cap
2001-01-01,1309.073
2001-01-02,1148.239
2001-01-03,1341.277
2001-01-04,1303.45
2001-01-05,1166.532
2001-01-08,1106.097
2001-01-09,1134.619
2001-01-10,1170.919
2001-01-11,1174.415
2001-01-12,1171.856
2001-01-15,1190.039
2001-01-16,1162.775
2001-01-17,1202.886
2001-01-18,1272.513
2001-01-19,1350.277
2001-01-22,1311.099
2001-01-23,1341.088
2001-01-24,1307.77
2001-01-25,1292.061
2001-01-26,1369.221
2001-01-29,1429.18
2001-01-30,1429.331
2001-01-31,1339.629
2001-02-01,1361.917
2001-02-02,1266.976
2001-02-05,1298.87
2001-02-06,1306.166
2001-02-07,1287.23
2001-02-08,1238.482
2001-02-09,1173.101
2001-02-12,1176.779
2001-02-13,1167.663
2001-02-14,1247.639
2001-02-15,1317.863
2001-02-16,1268.339
2001-02-19,1269.699
2001-02-20,1263.815
2001-02-21,1198.094
2001-02-22,1091.723
2001-02-23,1149.807
2001-02-26,1169.468
2001-02-27,1106.238
2001-02-28,1011.571
2001-03-01,1079.454
2001-03-02,1009.843
2001-03-05,962.803
2001-03-06,1020.967
2001-03-07,1056.936
2001-03-08,1010.093
2001-03-09,1015.137
2001-03-12,984.342
2001-03-13,1040.207
2001-03-14,1019.287
2001-03-15,972.284
2001-03-16,916.376
2001-03-19,890.015
2001-03-20,835.843
2001-03-21,852.097
2001-03-22,870.261
2001-03-23,873.944
2001-03-26,860.537
2001-03-27,894.743
2001-03-28,827.892
2001-03-29,773.427
2001-03-30,796.403
2001-04-02,776.968
2001-04-03,713.968
2001-04-04,728.057
2001-04-05,790.255
2001-04-06,775.335
2001-04-09,826.998
2001-04-10,900.912
2001-04-11,950.796
2001-04-12,967.72
2001-04-13,967.72
2001-04-16,956.389
2001-04-17,987.225
2001-04-18,1055.387
2001-04-19,1139.838
2001-04-20,1090.853
2001-04-23,1061.099
2001-04-24,958.061
2001-04-25,980.449
2001-04-26,945.233
2001-04-27,967.348
2001-04-30,947.04
2001-05-01,979.162
2001-05-02,1027.237
2001-05-03,991.46
2001-05-04,988.811
2001-05-07,966.572
2001-05-08,1007.943
2001-05-09,971.916
2001-05-10,944.082
2001-05-11,911.166
2001-05-14,889.607
2001-05-15,875.58
2001-05-16,860.322
2001-05-17,893.133
2001-05-18,885.141
2001-05-21,952.98
2001-05-22,964.995
2001-05-23,917.247
2001-05-24,951.629
2001-05-25,936.233
2001-05-28,935.696
2001-05-29,920.842
2001-05-30,871.652
2001-05-31,867.825
2001-06-01,880.658
2001-06-04,843.064
2001-06-05,826.459
2001-06-06,843.252
2001-06-07,871.679
2001-06-08,855.023
2001-06-11,810.156
2001-06-12,813.798
2001-06-13,786.762
2001-06-14,807.3
2001-06-15,811.668
2001-06-18,808.914
2001-06-19,823.906
2001-06-20,855.779
2001-06-21,852.69
2001-06-22,854.132
2001-06-25,841.524
2001-06-26,864.609
2001-06-27,884.133
2001-06-28,860.475
2001-06-29,870.094
2001-07-02,872.185
2001-07-03,805.218
2001-07-04,803.294
2001-07-05,808.375
2001-07-06,791.473
2001-07-09,801.709
2001-07-10,787.238
2001-07-11,756.112
2001-07-12,822.384
2001-07-13,795.044
2001-07-16,776.592
2001-07-17,806.084
2001-07-18,767.652
2001-07-19,775.882
2001-07-20,730.913
2001-07-23,749.499
2001-07-24,764.22
2001-07-25,784.753
2001-07-26,821.766
2001-07-27,848.232
2001-07-30,842.52
2001-07-31,860.037
2001-08-01,873.686
2001-08-02,855.688
2001-08-03,830.747
2001-08-06,839.251
2001-08-07,819.88
2001-08-08,796.298
2001-08-09,804.553
2001-08-10,791.702
2001-08-13,802.502
2001-08-14,786.669
2001-08-15,778.303
2001-08-16,790.221
2001-08-17,770.431
2001-08-20,771.979
2001-08-21,761.663
2001-08-22,766.377
2001-08-23,736.278
2001-08-24,756.777
2001-08-27,766.375
2001-08-28,748.158
2001-08-29,730.399
2001-08-30,717.732
2001-08-31,723.651
2001-09-03,728.641
2001-09-04,708.402
2001-09-05,709.177
2001-09-06,701.089
2001-09-07,706.523
2001-09-10,724.482
2001-09-11,709.939
2001-09-12,701.175
2001-09-13,708.958
2001-09-14,709.176
2001-09-17,681.934
2001-09-18,668.199
2001-09-19,646.243
2001-09-20,588.598
2001-09-21,572.614
2001-09-24,593.337
2001-09-25,577.985
2001-09-26,554.112
2001-09-27,544.34
2001-09-28,558.441
2001-10-01,559.87
2001-10-02,580.413
2001-10-03,628.372
2001-10-04,643.188
2001-10-05,641.958
2001-10-08,645.215
2001-10-09,630.874
2001-10-10,654.283
2001-10-11,700.923
2001-10-12,699.612
2001-10-15,675.653
2001-10-16,707.266
2001-10-17,677.413
2001-10-18,694.132
2001-10-19,674.768
2001-10-22,676.035
2001-10-23,670.805
2001-10-24,684.742
2001-10-25,701.425
2001-10-26,689.497
2001-10-29,674.253
2001-10-30,664.737
2001-10-31,664.526
2001-11-01,667.921
2001-11-02,663.785
2001-11-05,690.218
2001-11-06,709.377
2001-11-07,702.138
