Date,ISRAEL LARGE GROWTH Large Cap
2001-01-01,1321.37
2001-01-02,1159.024
2001-01-03,1353.876
2001-01-04,1315.693
2001-01-05,1177.49
2001-01-08,1116.486
2001-01-09,1145.277
2001-01-10,1181.917
2001-01-11,1185.446
2001-01-12,1182.864
2001-01-15,1201.218
2001-01-16,1173.697
2001-01-17,1214.185
2001-01-18,1284.466
2001-01-19,1362.961
2001-01-22,1323.414
2001-01-23,1353.685
2001-01-24,1320.054
2001-01-25,1304.198
2001-01-26,1382.082
2001-01-29,1442.605
2001-01-30,1442.757
2001-01-31,1352.213
2001-02-01,1374.71
2001-02-02,1278.877
2001-02-05,1311.07
2001-02-06,1318.436
2001-02-07,1299.321
2001-02-08,1250.115
2001-02-09,1184.12
2001-02-12,1187.833
2001-02-13,1178.631
2001-02-14,1259.359
2001-02-15,1330.242
2001-02-16,1280.253
2001-02-19,1281.626
2001-02-20,1275.686
2001-02-21,1209.348
2001-02-22,1101.978
2001-02-23,1160.608
2001-02-26,1180.453
2001-02-27,1116.63
2001-02-28,1021.073
2001-03-01,1089.594
2001-03-02,1019.329
2001-03-05,971.847
2001-03-06,1030.557
2001-03-07,1066.864
2001-03-08,1019.581
2001-03-09,1024.672
2001-03-12,993.589
2001-03-13,1049.883
2001-03-14,1028.769
2001-03-15,981.328
2001-03-16,924.9
2001-03-19,898.294
2001-03-20,843.618
2001-03-21,860.024
2001-03-22,878.356
2001-03-23,882.074
2001-03-26,868.542
2001-03-27,903.066
2001-03-28,835.593
2001-03-29,780.622
2001-03-30,803.812
2001-04-02,784.195
2001-04-03,720.609
2001-04-04,734.83
2001-04-05,797.606
2001-04-06,782.548
2001-04-09,834.691
2001-04-10,909.293
2001-04-11,959.641
2001-04-12,976.722
2001-04-13,976.722
2001-04-16,965.286
2001-04-17,996.408
2001-04-18,1065.204
2001-04-19,1150.441
2001-04-20,1101.0
2001-04-23,1070.97
2001-04-24,966.973
2001-04-25,989.569
2001-04-26,954.025
2001-04-27,976.346
2001-04-30,955.85
2001-05-01,988.27
2001-05-02,1036.793
2001-05-03,1000.683
2001-05-04,998.01
2001-05-07,975.563
2001-05-08,1017.319
2001-05-09,980.957
2001-05-10,952.864
2001-05-11,919.642
2001-05-14,897.882
2001-05-15,883.725
2001-05-16,868.325
2001-05-17,901.441
2001-05-18,893.375
2001-05-21,961.845
2001-05-22,973.877
2001-05-23,925.69
2001-05-24,960.388
2001-05-25,944.85
2001-05-28,944.308
2001-05-29,929.317
2001-05-30,879.675
2001-05-31,875.813
2001-06-01,888.764
2001-06-04,850.824
2001-06-05,834.065
2001-06-06,851.014
2001-06-07,879.703
2001-06-08,862.893
2001-06-11,817.613
2001-06-12,821.288
2001-06-13,794.004
