Date,GERMANY IMI IMI (Large+Mid+Small Cap)
2001-01-01,537.527
2001-01-02,531.957
2001-01-03,537.159
2001-01-04,535.185
2001-01-05,536.246
2001-01-08,532.722
2001-01-09,527.446
2001-01-10,522.796
2001-01-11,538.393
2001-01-12,540.764
2001-01-15,540.255
2001-01-16,537.845
2001-01-17,544.188
2001-01-18,552.717
2001-01-19,548.026
2001-01-22,549.937
2001-01-23,555.159
2001-01-24,546.405
2001-01-25,545.568
2001-01-26,544.398
2001-01-29,546.336
2001-01-30,549.529
2001-01-31,555.821
2001-02-01,556.305
2001-02-02,548.193
2001-02-05,549.993
2001-02-06,550.302
2001-02-07,543.13
2001-02-08,538.499
2001-02-09,532.909
2001-02-12,540.077
2001-02-13,535.064
2001-02-14,527.073
2001-02-15,525.985
2001-02-16,522.947
2001-02-19,526.078
2001-02-20,517.75
2001-02-21,513.178
2001-02-22,505.717
2001-02-23,493.322
2001-02-26,502.058
2001-02-27,508.991
2001-02-28,510.345
2001-03-01,508.017
2001-03-02,513.937
2001-03-05,513.908
2001-03-06,521.352
2001-03-07,521.272
2001-03-08,521.122
2001-03-09,516.203
2001-03-12,503.32
2001-03-13,489.149
2001-03-14,473.227
2001-03-15,478.073
2001-03-16,462.175
2001-03-19,456.727
2001-03-20,468.082
2001-03-21,452.623
2001-03-22,428.206
2001-03-23,443.864
2001-03-26,457.506
2001-03-27,471.831
2001-03-28,459.828
2001-03-29,459.249
2001-03-30,459.312
2001-04-02,452.287
2001-04-03,440.023
2001-04-04,450.024
2001-04-05,458.452
2001-04-06,456.328
2001-04-09,461.429
2001-04-10,464.135
2001-04-11,464.061
2001-04-12,472.285
2001-04-13,472.285
2001-04-16,467.449
2001-04-17,461.412
2001-04-18,472.697
2001-04-19,483.005
2001-04-20,485.998
2001-04-23,479.045
2001-04-24,481.817
2001-04-25,483.684
2001-04-26,488.033
2001-04-27,485.552
2001-04-30,488.931
2001-05-01,491.521
2001-05-02,490.031
2001-05-03,482.513
2001-05-04,485.846
2001-05-07,483.652
2001-05-08,479.921
2001-05-09,475.899
2001-05-10,481.446
2001-05-11,476.148
2001-05-14,469.657
2001-05-15,473.348
2001-05-16,480.021
2001-05-17,481.738
2001-05-18,480.378
2001-05-21,483.524
2001-05-22,481.662
2001-05-23,474.368
2001-05-24,476.061
2001-05-25,472.454
2001-05-28,473.426
2001-05-29,464.543
2001-05-30,460.283
2001-05-31,459.641
2001-06-01,459.359
2001-06-04,463.534
2001-06-05,466.874
2001-06-06,462.987
2001-06-07,464.364
2001-06-08,464.038
2001-06-11,458.385
2001-06-12,455.554
2001-06-13,460.746
2001-06-14,459.203
2001-06-15,453.928
2001-06-18,450.938
2001-06-19,451.92
2001-06-20,445.773
2001-06-21,448.955
2001-06-22,451.272
2001-06-25,451.617
2001-06-26,448.338
2001-06-27,446.688
2001-06-28,448.946
2001-06-29,453.488
2001-07-02,455.93
2001-07-03,452.624
2001-07-04,449.549
2001-07-05,442.788
2001-07-06,437.682
2001-07-09,439.989
2001-07-10,440.958
2001-07-11,441.37
2001-07-12,442.534
2001-07-13,445.772
2001-07-16,442.914
2001-07-17,439.631
2001-07-18,442.212
2001-07-19,447.501
2001-07-20,445.332
2001-07-23,444.812
2001-07-24,440.526
2001-07-25,437.754
2001-07-26,442.497
2001-07-27,446.805
2001-07-30,450.738
2001-07-31,454.793
2001-08-01,456.107
2001-08-02,454.859
2001-08-03,453.263
2001-08-06,450.015
2001-08-07,448.688
2001-08-08,440.048
2001-08-09,439.17
2001-08-10,438.255
2001-08-13,441.625
2001-08-14,445.204
2001-08-15,447.433
2001-08-16,441.424
2001-08-17,434.763
2001-08-20,431.204
2001-08-21,431.704
2001-08-22,436.245
2001-08-23,434.687
2001-08-24,443.479
2001-08-27,443.328
2001-08-28,437.016
2001-08-29,436.539
2001-08-30,425.639
2001-08-31,426.873
2001-09-03,419.489
2001-09-04,419.045
2001-09-05,407.711
2001-09-06,397.239
2001-09-07,393.081
2001-09-10,386.024
2001-09-11,361.953
2001-09-12,365.357
2001-09-13,369.77
2001-09-14,355.866
2001-09-17,361.821
2001-09-18,359.544
2001-09-19,353.138
2001-09-20,334.52
2001-09-21,326.614
2001-09-24,343.487
2001-09-25,345.158
2001-09-26,350.767
2001-09-27,356.998
2001-09-28,362.6
2001-10-01,360.595
2001-10-02,365.484
2001-10-03,375.33
2001-10-04,380.818
2001-10-05,379.525
2001-10-08,379.628
2001-10-09,378.147
2001-10-10,384.363
2001-10-11,388.569
2001-10-12,384.881
2001-10-15,381.109
2001-10-16,387.782
2001-10-17,388.222
2001-10-18,382.187
2001-10-19,376.056
2001-10-22,380.256
2001-10-23,385.071
2001-10-24,393.069
2001-10-25,388.88
2001-10-26,394.591
2001-10-29,389.718
2001-10-30,383.041
2001-10-31,380.617
2001-11-01,388.175
2001-11-02,384.118
2001-11-05,392.071
2001-11-06,389.443
2001-11-07,400.2
2001-11-08,405.45
2001-11-09,401.06
2001-11-12,395.59
2001-11-13,398.779
2001-11-14,400.608
2001-11-15,402.888
2001-11-16,408.478
2001-11-19,414.802
2001-11-20,410.363
2001-11-21,407.096
2001-11-22,411.261
2001-11-23,411.796
2001-11-26,410.596
2001-11-27,407.936
2001-11-28,399.604
2001-11-29,402.088
2001-11-30,409.572
2001-12-03,406.857
2001-12-04,409.945
2001-12-05,423.798
2001-12-06,425.29
2001-12-07,420.226
2001-12-10,414.166
2001-12-11,415.541
2001-12-12,412.733
2001-12-13,406.895
2001-12-14,404.719
2001-12-17,416.211
2001-12-18,413.862
2001-12-19,408.401
2001-12-20,404.374
2001-12-21,403.827
2001-12-24,399.795
2001-12-25,399.795
2001-12-26,400.137
2001-12-27,410.341
2001-12-28,411.322
2001-12-31,415.37
2002-01-01,415.37
2002-01-02,422.297
2002-01-03,429.03
2002-01-04,429.797
2002-01-07,423.944
2002-01-08,423.41
2002-01-09,425.846
2002-01-10,423.976
2002-01-11,421.709
2002-01-14,414.025
2002-01-15,412.436
2002-01-16,403.437
2002-01-17,411.818
2002-01-18,412.522
2002-01-21,409.743
2002-01-22,408.212
2002-01-23,416.258
2002-01-24,413.954
2002-01-25,406.774
2002-01-28,405.211
2002-01-29,400.951
2002-01-30,399.235
2002-01-31,402.382
2002-02-01,401.868
2002-02-04,397.509
2002-02-05,395.014
2002-02-06,386.78
2002-02-07,389.583
2002-02-08,388.932
2002-02-11,398.638
2002-02-12,394.74
2002-02-13,395.88
2002-02-14,396.691
2002-02-15,391.44
2002-02-18,390.213
2002-02-19,384.46
2002-02-20,384.3
2002-02-21,388.794
2002-02-22,385.059
2002-02-25,389.985
2002-02-26,391.216
2002-02-27,393.537
