Date,SPAIN LARGE VALUE Large Cap
2001-01-01,365.212
2001-01-02,369.648
2001-01-03,374.086
2001-01-04,382.476
2001-01-05,383.432
2001-01-08,385.701
2001-01-09,380.708
2001-01-10,380.718
2001-01-11,387.642
2001-01-12,389.215
2001-01-15,385.953
2001-01-16,380.166
2001-01-17,381.476
2001-01-18,390.331
2001-01-19,384.681
2001-01-22,386.08
2001-01-23,388.051
2001-01-24,381.907
2001-01-25,381.964
2001-01-26,381.153
2001-01-29,373.943
2001-01-30,382.087
2001-01-31,387.87
2001-02-01,392.024
2001-02-02,381.057
2001-02-05,384.719
2001-02-06,387.885
2001-02-07,386.107
2001-02-08,385.701
2001-02-09,386.418
2001-02-12,393.752
2001-02-13,390.519
2001-02-14,382.5
2001-02-15,375.853
2001-02-16,374.396
2001-02-19,378.932
2001-02-20,368.653
2001-02-21,366.096
2001-02-22,359.15
2001-02-23,355.713
2001-02-26,360.173
2001-02-27,365.067
2001-02-28,364.306
2001-03-01,366.554
2001-03-02,370.033
2001-03-05,369.661
2001-03-06,377.834
2001-03-07,378.592
2001-03-08,379.251
2001-03-09,376.306
2001-03-12,368.107
2001-03-13,363.001
2001-03-14,357.247
2001-03-15,359.125
2001-03-16,348.829
2001-03-19,347.23
2001-03-20,350.298
2001-03-21,338.424
2001-03-22,323.577
2001-03-23,334.814
2001-03-26,341.349
2001-03-27,348.751
2001-03-28,344.248
2001-03-29,342.548
2001-03-30,347.562
2001-04-02,347.384
2001-04-03,339.394
2001-04-04,351.36
2001-04-05,354.145
2001-04-06,355.255
2001-04-09,360.355
2001-04-10,357.617
2001-04-11,355.207
2001-04-12,360.354
2001-04-13,360.354
2001-04-16,356.664
2001-04-17,351.821
2001-04-18,354.211
2001-04-19,357.085
2001-04-20,359.839
2001-04-23,350.988
2001-04-24,356.235
2001-04-25,355.2
2001-04-26,358.128
2001-04-27,355.949
2001-04-30,357.874
2001-05-01,359.771
2001-05-02,354.591
2001-05-03,351.764
2001-05-04,353.588
2001-05-07,353.715
2001-05-08,355.164
2001-05-09,354.36
2001-05-10,356.012
2001-05-11,351.295
2001-05-14,347.028
2001-05-15,347.705
2001-05-16,351.241
2001-05-17,352.759
2001-05-18,357.046
2001-05-21,351.197
2001-05-22,343.422
2001-05-23,342.407
2001-05-24,341.189
2001-05-25,336.802
2001-05-28,338.983
2001-05-29,334.173
2001-05-30,335.382
2001-05-31,332.985
2001-06-01,333.403
2001-06-04,336.814
2001-06-05,338.945
2001-06-06,336.111
2001-06-07,338.838
2001-06-08,340.145
2001-06-11,337.69
2001-06-12,338.81
2001-06-13,342.117
2001-06-14,342.328
2001-06-15,341.806
2001-06-18,336.169
2001-06-19,334.513
2001-06-20,329.336
2001-06-21,325.366
2001-06-22,325.841
2001-06-25,329.707
2001-06-26,327.175
2001-06-27,324.767
2001-06-28,320.884
2001-06-29,322.441
2001-07-02,325.612
2001-07-03,324.069
2001-07-04,323.47
2001-07-05,319.965
2001-07-06,317.094
2001-07-09,319.996
2001-07-10,315.722
2001-07-11,315.826
2001-07-12,313.5
2001-07-13,315.591
2001-07-16,316.006
2001-07-17,316.831
2001-07-18,319.994
2001-07-19,320.728
2001-07-20,321.264
2001-07-23,323.916
2001-07-24,326.071
2001-07-25,322.743
2001-07-26,323.165
2001-07-27,323.838
2001-07-30,329.223
2001-07-31,330.24
2001-08-01,333.643
2001-08-02,336.225
2001-08-03,335.569
2001-08-06,334.779
2001-08-07,330.996
2001-08-08,328.549
2001-08-09,329.605
2001-08-10,331.404
2001-08-13,335.186
2001-08-14,335.258
2001-08-15,340.376
2001-08-16,337.751
2001-08-17,338.907
2001-08-20,338.18
2001-08-21,339.492
2001-08-22,347.63
2001-08-23,345.749
2001-08-24,348.219
2001-08-27,345.852
2001-08-28,342.252
2001-08-29,341.207
2001-08-30,335.297
2001-08-31,337.918
2001-09-03,334.189
2001-09-04,331.813
2001-09-05,328.522
2001-09-06,324.558
2001-09-07,326.409
2001-09-10,322.363
2001-09-11,320.289
2001-09-12,317.916
2001-09-13,319.09
2001-09-14,312.418
2001-09-17,311.245
2001-09-18,307.222
2001-09-19,302.902
2001-09-20,295.254
2001-09-21,282.262
2001-09-24,291.014
2001-09-25,295.672
2001-09-26,295.441
2001-09-27,302.528
2001-09-28,306.79
2001-10-01,305.441
2001-10-02,311.511
2001-10-03,310.12
2001-10-04,314.127
2001-10-05,303.06
2001-10-08,306.389
2001-10-09,306.711
2001-10-10,313.136
2001-10-11,307.114
2001-10-12,308.476
2001-10-15,307.677
2001-10-16,310.87
2001-10-17,315.642
2001-10-18,310.082
2001-10-19,303.059
2001-10-22,305.858
2001-10-23,309.367
2001-10-24,308.636
2001-10-25,303.831
2001-10-26,304.983
2001-10-29,308.939
2001-10-30,306.997
2001-10-31,310.852
2001-11-01,310.938
2001-11-02,306.881
2001-11-05,310.536
2001-11-06,308.367
2001-11-07,312.017
2001-11-08,318.331
2001-11-09,316.438
2001-11-12,313.174
2001-11-13,313.143
2001-11-14,311.177
2001-11-15,304.182
2001-11-16,306.895
2001-11-19,311.914
2001-11-20,312.3
2001-11-21,307.055
2001-11-22,314.571
2001-11-23,313.984
2001-11-26,312.903
2001-11-27,310.96
2001-11-28,311.114
2001-11-29,310.057
2001-11-30,312.603
2001-12-03,311.744
2001-12-04,316.469
2001-12-05,321.859
2001-12-06,322.964
2001-12-07,317.964
2001-12-10,313.489
2001-12-11,317.007
2001-12-12,316.151
2001-12-13,309.34
2001-12-14,313.59
2001-12-17,322.431
2001-12-18,313.751
2001-12-19,312.208
2001-12-20,308.878
2001-12-21,309.947
2001-12-24,306.854
2001-12-25,306.854
2001-12-26,307.116
2001-12-27,312.013
2001-12-28,309.644
2001-12-31,312.663
2002-01-01,312.663
2002-01-02,316.009
2002-01-03,319.784
2002-01-04,313.148
2002-01-07,301.681
2002-01-08,298.388
2002-01-09,293.988
2002-01-10,296.671
2002-01-11,297.944
2002-01-14,293.366
2002-01-15,294.542
2002-01-16,286.438
2002-01-17,291.841
2002-01-18,292.527
2002-01-21,288.306
2002-01-22,289.276
2002-01-23,290.985
2002-01-24,292.007
2002-01-25,288.53
2002-01-28,291.442
2002-01-29,288.313
2002-01-30,284.36
2002-01-31,284.359
2002-02-01,285.74
2002-02-04,284.621
2002-02-05,281.262
2002-02-06,277.921
2002-02-07,280.126
2002-02-08,282.462
2002-02-11,282.749
2002-02-12,281.146
2002-02-13,281.545
2002-02-14,285.162
2002-02-15,286.347
2002-02-18,281.871
2002-02-19,278.203
2002-02-20,278.051
2002-02-21,278.645
2002-02-22,278.754
2002-02-25,282.633
2002-02-26,283.75
2002-02-27,290.088
2002-02-28,291.032
2002-03-01,296.178
2002-03-04,300.804
2002-03-05,296.21
2002-03-06,297.384
2002-03-07,301.92
2002-03-08,301.301
2002-03-11,302.565
2002-03-12,298.142
2002-03-13,295.756
2002-03-14,300.465
2002-03-15,301.641
2002-03-18,303.863
2002-03-19,306.22
2002-03-20,304.172
2002-03-21,303.601
2002-03-22,300.48
2002-03-25,295.739
2002-03-26,293.154
2002-03-27,292.445
2002-03-28,293.893
2002-03-29,293.893
2002-04-01,296.302
2002-04-02,296.443
2002-04-03,297.896
2002-04-04,297.257
2002-04-05,295.864
2002-04-08,290.806
2002-04-09,291.824
2002-04-10,294.208
2002-04-11,292.291
2002-04-12,291.036
2002-04-15,293.849
2002-04-16,297.248
2002-04-17,298.201
2002-04-18,298.774
2002-04-19,299.534
2002-04-22,298.636
2002-04-23,297.596
2002-04-24,298.768
2002-04-25,296.59
2002-04-26,295.813
2002-04-29,295.063
2002-04-30,295.515
2002-05-01,297.187
2002-05-02,293.884
2002-05-03,294.359
2002-05-06,291.612
2002-05-07,289.059
2002-05-08,292.811
2002-05-09,289.892
2002-05-10,287.659
2002-05-13,291.756
2002-05-14,290.362
2002-05-15,296.95
2002-05-16,293.495
2002-05-17,294.893
2002-05-20,293.31
2002-05-21,291.05
2002-05-22,292.675
2002-05-23,292.288
2002-05-24,294.55
2002-05-27,294.566
2002-05-28,294.188
2002-05-29,294.401
2002-05-30,292.994
2002-05-31,293.497
2002-06-03,294.937
2002-06-04,288.154
2002-06-05,285.084
2002-06-06,287.917
2002-06-07,284.603
2002-06-10,284.966
2002-06-11,284.868
2002-06-12,279.304
2002-06-13,276.675
2002-06-14,269.899
2002-06-17,280.845
2002-06-18,285.801
2002-06-19,282.466
2002-06-20,280.007
2002-06-21,274.496
2002-06-24,266.096
2002-06-25,268.39
2002-06-26,270.215
2002-06-27,268.851
2002-06-28,278.824
2002-07-01,279.029
2002-07-02,270.189
2002-07-03,263.143
2002-07-04,267.309
2002-07-05,281.219
2002-07-08,288.13
2002-07-09,284.565
2002-07-10,277.279
2002-07-11,269.737
2002-07-12,270.224
2002-07-15,260.923
2002-07-16,256.334
2002-07-17,264.842
2002-07-18,269.771
2002-07-19,257.13
2002-07-22,246.567
2002-07-23,238.992
2002-07-24,234.072
2002-07-25,244.391
2002-07-26,239.477
2002-07-29,254.151
2002-07-30,243.41
2002-07-31,236.875
2002-08-01,228.503
2002-08-02,233.09
2002-08-05,230.073
2002-08-06,234.315
2002-08-07,231.739
2002-08-08,244.518
2002-08-09,248.991
2002-08-12,243.53
2002-08-13,245.726
2002-08-14,238.885
2002-08-15,237.106
2002-08-16,247.155
2002-08-19,256.033
2002-08-20,251.335
2002-08-21,255.076
2002-08-22,258.478
2002-08-23,254.52
2002-08-26,252.371
2002-08-27,263.384
2002-08-28,254.049
2002-08-29,251.32
2002-08-30,253.453
2002-09-02,250.423
2002-09-03,244.544
2002-09-04,244.124
2002-09-05,241.247
2002-09-06,247.725
2002-09-09,242.542
2002-09-10,247.493
2002-09-11,256.631
2002-09-12,246.553
2002-09-13,242.121
2002-09-16,237.625
2002-09-17,234.952
2002-09-18,229.196
2002-09-19,225.675
2002-09-20,220.646
2002-09-23,213.681
2002-09-24,206.183
2002-09-25,209.429
2002-09-26,221.777
2002-09-27,218.753
2002-09-30,213.037
2002-10-01,210.022
2002-10-02,219.841
2002-10-03,219.114
2002-10-04,212.959
2002-10-07,210.03
2002-10-08,207.799
2002-10-09,204.687
2002-10-10,207.128
2002-10-11,215.564
2002-10-14,213.342
2002-10-15,224.971
2002-10-16,223.443
2002-10-17,226.44
2002-10-18,225.942
2002-10-21,226.817
2002-10-22,224.891
2002-10-23,218.056
2002-10-24,224.765
2002-10-25,226.776
2002-10-28,229.384
2002-10-29,223.541
2002-10-30,224.09
2002-10-31,230.514
2002-11-01,231.945
2002-11-04,240.491
2002-11-05,243.706
2002-11-06,242.277
2002-11-07,235.987
2002-11-08,236.514
2002-11-11,237.792
2002-11-12,239.706
2002-11-13,238.156
2002-11-14,243.93
2002-11-15,242.565
2002-11-18,247.541
2002-11-19,247.381
2002-11-20,245.421
2002-11-21,254.531
2002-11-22,255.471
2002-11-25,254.944
2002-11-26,251.054
2002-11-27,259.825
2002-11-28,259.462
2002-11-29,259.16
2002-12-02,264.038
2002-12-03,260.986
2002-12-04,257.487
2002-12-05,254.888
2002-12-06,256.761
2002-12-09,251.643
2002-12-10,254.095
2002-12-11,258.499
2002-12-12,253.787
2002-12-13,247.359
2002-12-16,259.057
2002-12-17,258.862
2002-12-18,253.705
2002-12-19,251.537
2002-12-20,254.105
2002-12-23,257.315
2002-12-24,258.38
2002-12-25,258.38
2002-12-26,259.031
2002-12-27,256.869
2002-12-30,260.59
2002-12-31,261.612
2003-01-01,261.612
2003-01-02,268.131
2003-01-03,265.527
2003-01-06,267.158
2003-01-07,268.796
2003-01-08,270.967
2003-01-09,275.169
2003-01-10,276.357
2003-01-13,281.027
2003-01-14,286.072
2003-01-15,287.406
2003-01-16,285.492
2003-01-17,281.232
2003-01-20,278.203
2003-01-21,274.981
2003-01-22,270.514
2003-01-23,273.992
2003-01-24,274.471
2003-01-27,265.234
2003-01-28,260.729
2003-01-29,262.789
2003-01-30,265.705
2003-01-31,264.083
2003-02-03,267.308
2003-02-04,264.267
2003-02-05,269.739
2003-02-06,265.465
2003-02-07,260.322
2003-02-10,259.055
2003-02-11,263.622
2003-02-12,260.9
2003-02-13,262.834
2003-02-14,268.164
2003-02-17,272.04
2003-02-18,276.051
2003-02-19,271.225
2003-02-20,271.755
2003-02-21,274.386
2003-02-24,267.613
2003-02-25,260.47
2003-02-26,260.659
2003-02-27,266.016
2003-02-28,269.76
2003-03-03,269.384
2003-03-04,267.2
2003-03-05,270.345
2003-03-06,268.867
2003-03-07,266.893
2003-03-10,261.124
2003-03-11,261.388
2003-03-12,253.501
2003-03-13,262.529
2003-03-14,270.066
2003-03-17,274.548
2003-03-18,272.06
2003-03-19,274.002
2003-03-20,271.465
2003-03-21,280.41
2003-03-24,271.868
2003-03-25,281.667
2003-03-26,281.696
2003-03-27,277.017
2003-03-28,279.812
2003-03-31,276.449
2003-04-01,280.64
2003-04-02,286.558
2003-04-03,289.406
2003-04-04,290.692
2003-04-07,295.065
2003-04-08,294.876
2003-04-09,297.79
2003-04-10,299.771
2003-04-11,298.449
2003-04-14,301.648
2003-04-15,304.105
2003-04-16,302.917
2003-04-17,307.477
2003-04-18,307.477
2003-04-21,306.151
2003-04-22,309.701
2003-04-23,308.728
2003-04-24,307.198
2003-04-25,303.896
2003-04-28,308.014
2003-04-29,307.573
2003-04-30,306.169
2003-05-01,308.981
2003-05-02,310.115
2003-05-05,312.451
2003-05-06,318.969
2003-05-07,313.693
2003-05-08,308.42
2003-05-09,315.695
2003-05-12,318.915
2003-05-13,316.761
2003-05-14,314.769
2003-05-15,318.951
2003-05-16,323.77
2003-05-19,317.403
2003-05-20,317.684
2003-05-21,315.129
2003-05-22,319.814
2003-05-23,324.468
2003-05-26,326.103
2003-05-27,326.978
2003-05-28,327.952
2003-05-29,330.341
2003-05-30,330.722
2003-06-02,333.715
2003-06-03,331.685
2003-06-04,334.152
2003-06-05,335.197
2003-06-06,340.528
2003-06-09,338.981
2003-06-10,341.177
2003-06-11,350.446
2003-06-12,356.79
2003-06-13,360.602
2003-06-16,370.354
2003-06-17,371.312
2003-06-18,369.323
2003-06-19,359.948
2003-06-20,369.214
2003-06-23,356.215
2003-06-24,351.449
2003-06-25,357.336
2003-06-26,354.54
2003-06-27,357.316
2003-06-30,350.221
2003-07-01,346.57
2003-07-02,350.408
2003-07-03,351.536
2003-07-04,350.472
2003-07-07,356.377
2003-07-08,358.036
2003-07-09,353.607
2003-07-10,349.822
2003-07-11,358.237
2003-07-14,360.422
2003-07-15,357.294
2003-07-16,351.233
2003-07-17,350.42
2003-07-18,348.295
2003-07-21,346.793
2003-07-22,349.297
2003-07-23,350.496
2003-07-24,360.152
2003-07-25,357.61
2003-07-28,363.766
2003-07-29,357.953
2003-07-30,356.904
2003-07-31,357.132
2003-08-01,354.08
2003-08-04,353.56
2003-08-05,356.179
