Date,AUSTRIA LARGE CAP Large Cap
2001-01-01,989.86
2001-01-02,1004.723
2001-01-03,997.187
2001-01-04,1053.876
2001-01-05,1100.266
2001-01-08,1071.696
2001-01-09,1049.244
2001-01-10,1047.38
2001-01-11,1028.513
2001-01-12,1042.631
2001-01-15,1035.836
2001-01-16,1026.725
2001-01-17,1031.17
2001-01-18,1039.66
2001-01-19,1025.948
2001-01-22,1040.022
2001-01-23,1034.388
2001-01-24,1014.5
2001-01-25,1009.876
2001-01-26,998.582
2001-01-29,1019.578
2001-01-30,1044.258
2001-01-31,1068.317
2004-11-30,621.671
2004-12-01,638.606
2004-12-02,634.935
2004-12-03,631.913
2004-12-06,631.119
2004-12-07,635.892
2004-12-08,628.291
2004-12-09,614.096
2004-12-10,606.726
2004-12-13,620.405
2004-12-14,628.604
2004-12-15,639.529
2004-12-16,621.072
2004-12-17,624.363
2004-12-20,639.091
2004-12-21,637.173
2004-12-22,642.058
2004-12-23,646.405
2004-12-24,648.081
2004-12-27,653.282
2004-12-28,652.098
2004-12-29,651.039
2004-12-30,657.096
2004-12-31,655.288
2005-01-03,659.256
2005-01-04,655.095
2005-01-05,643.116
2005-01-06,638.054
2005-01-07,633.346
2005-01-10,631.33
2005-01-11,629.181
2005-01-12,630.78
2005-01-13,614.969
2005-01-14,606.209
2005-01-17,613.054
2005-01-18,611.894
2005-01-19,604.128
2005-01-20,586.981
2005-01-21,595.763
2005-01-24,598.766
2005-01-25,607.805
2005-01-26,614.267
2005-01-27,618.849
2005-01-28,610.196
2005-01-31,614.142
2005-02-01,613.436
2005-02-02,613.237
2005-02-03,610.185
2005-02-04,624.774
2005-02-07,613.213
2005-02-08,612.714
2005-02-09,612.394
2005-02-10,609.334
2005-02-11,606.901
2005-02-14,618.424
2005-02-15,613.53
2005-02-16,613.477
2005-02-17,616.649
2005-02-18,618.587
2005-02-21,615.125
2005-02-22,620.009
2005-02-23,614.247
2005-02-24,632.355
2005-02-25,661.171
2005-02-28,683.231
2005-03-01,681.716
2005-03-02,672.21
2005-03-03,685.186
2005-03-04,705.026
2005-03-07,721.818
2005-03-08,722.456
2005-03-09,723.198
2005-03-10,722.897
2005-03-11,719.629
2005-03-14,701.404
2005-03-15,703.235
2005-03-16,685.272
2005-03-17,670.312
2005-03-18,662.746
2005-03-21,642.594
2005-03-22,664.362
2005-03-23,644.806
2005-03-24,657.227
2005-03-25,657.227
2005-03-28,652.614
2005-03-29,659.905
2005-03-30,663.031
2005-03-31,668.038
2005-04-01,672.964
2005-04-04,656.11
2005-04-05,663.383
2005-04-06,665.732
2005-04-07,670.91
2005-04-08,666.816
2005-04-11,668.701
2005-04-12,660.669
2005-04-13,671.676
2005-04-14,659.95
2005-04-15,648.017
2005-04-18,627.585
2005-04-19,637.758
2005-04-20,648.25
2005-04-21,653.434
2005-04-22,659.536
2005-04-25,654.997
2005-04-26,659.47
2005-04-27,646.765
2005-04-28,634.357
2005-04-29,619.036
2005-05-02,621.047
2005-05-03,620.627
2005-05-04,618.84
2005-05-05,618.1
2005-05-06,606.966
2005-05-09,629.092
2005-05-10,630.9
2005-05-11,624.408
2005-05-12,612.041
2005-05-13,610.617
2005-05-16,609.41
2005-05-17,603.326
2005-05-18,607.838
2005-05-19,622.886
2005-05-20,636.123
2005-05-23,633.482
2005-05-24,624.644
2005-05-25,621.524
2005-05-26,617.971
2005-05-27,654.615
2005-05-30,655.467
2005-05-31,649.903
2005-06-01,648.566
2005-06-02,647.815
2005-06-03,642.405
2005-06-06,654.562
2005-06-07,662.426
2005-06-08,671.287
2005-06-09,674.589
2005-06-10,671.061
2005-06-13,670.094
2005-06-14,665.876
2005-06-15,674.239
2005-06-16,681.61
2005-06-17,682.589
2005-06-20,684.315
2005-06-21,681.085
2005-06-22,681.644
2005-06-23,671.507
2005-06-24,662.533
2005-06-27,670.911
2005-06-28,670.472
2005-06-29,672.752
2005-06-30,670.195
2005-07-01,670.792
2005-07-04,666.991
2005-07-05,672.992
2005-07-06,662.773
2005-07-07,658.508
2005-07-08,653.576
2005-07-11,661.541
2005-07-12,667.082
2005-07-13,661.005
2005-07-14,672.723
2005-07-15,674.108
2005-07-18,673.295
2005-07-19,675.008
2005-07-20,675.86
2005-07-21,679.906
2005-07-22,675.891
2005-07-25,679.781
2005-07-26,664.852
2005-07-27,662.569
2005-07-28,667.206
2005-07-29,682.354
2005-08-01,689.87
2005-08-02,689.472
2005-08-03,714.723
2005-08-04,727.419
2005-08-05,725.963
2005-08-08,725.862
2005-08-09,729.431
2005-08-10,750.199
2005-08-11,749.316
2005-08-12,743.629
2005-08-15,739.651
2005-08-16,738.418
2005-08-17,729.189
2005-08-18,715.942
2005-08-19,721.17
2005-08-22,728.459
2005-08-23,726.127
2005-08-24,727.846
2005-08-25,727.836
2005-08-26,727.827
