Date,ISRAEL IMI VALUE IMI (Large+Mid+Small Cap)
2002-05-31,281.968
2002-06-03,285.744
2002-06-04,284.585
2002-06-05,281.519
2002-06-06,278.617
2002-06-07,277.111
2002-06-10,272.632
2002-06-11,270.151
2002-06-12,267.969
2002-06-13,271.743
2002-06-14,270.951
2002-06-17,273.297
2002-06-18,274.301
2002-06-19,271.136
2002-06-20,264.869
2002-06-21,265.609
2002-06-24,261.564
2002-06-25,269.98
2002-06-26,266.544
2002-06-27,276.076
2002-06-28,280.192
2002-07-01,281.3
2002-07-02,276.881
2002-07-03,275.192
2002-07-04,275.202
2002-07-05,275.048
2002-07-08,278.328
2002-07-09,281.721
2002-07-10,282.006
2002-07-11,268.545
2002-07-12,269.817
2002-07-15,280.334
2002-07-16,280.204
2002-07-17,287.947
2002-07-18,287.547
2002-07-19,287.239
2002-07-22,282.718
2002-07-23,274.926
2002-07-24,265.684
2002-07-25,266.023
2002-07-26,265.594
2002-07-29,279.703
2002-07-30,281.661
2002-07-31,283.422
2002-08-01,282.912
2002-08-02,282.585
2002-08-05,277.066
2002-08-06,279.326
2002-08-07,281.971
2002-08-08,281.534
2002-08-09,282.56
2002-08-12,281.239
2002-08-13,282.608
2002-08-14,284.038
2002-08-15,285.756
2002-08-16,285.354
2002-08-19,292.001
2002-08-20,292.048
2002-08-21,293.117
2002-08-22,288.443
2002-08-23,288.16
2002-08-26,291.123
2002-08-27,291.679
2002-08-28,287.757
2002-08-29,285.213
2002-08-30,285.236
2002-09-02,283.965
2002-09-03,281.135
2002-09-04,280.216
2002-09-05,279.758
2002-09-06,280.296
2002-09-09,282.595
2002-09-10,284.784
2002-09-11,285.401
2002-09-12,284.732
2002-09-13,284.472
2002-09-16,284.23
2002-09-17,289.702
2002-09-18,281.012
2002-09-19,279.5
2002-09-20,277.419
2002-09-23,273.428
2002-09-24,271.14
2002-09-25,272.105
2002-09-26,275.347
2002-09-27,274.844
2002-09-30,268.678
2002-10-01,271.997
2002-10-02,272.93
2002-10-03,270.863
2002-10-04,270.483
2002-10-07,264.771
2002-10-08,263.962
2002-10-09,263.627
2002-10-10,264.966
2002-10-11,265.84
2002-10-14,264.174
2002-10-15,268.575
2002-10-16,263.478
2002-10-17,269.336
2002-10-18,269.537
2002-10-21,272.386
2002-10-22,271.584
2002-10-23,272.296
2002-10-24,274.02
2002-10-25,273.2
2002-10-28,268.019
2002-10-29,268.907
2002-10-30,280.933
2002-10-31,277.619
2002-11-01,279.686
2002-11-04,284.621
2002-11-05,283.84
2002-11-06,291.295
2002-11-07,288.76
2002-11-08,289.417
2002-11-11,286.768
2002-11-12,282.955
2002-11-13,279.334
2002-11-14,284.638
2002-11-15,285.122
2002-11-18,290.589
2002-11-19,287.975
2002-11-20,291.532
2002-11-21,295.112
2002-11-22,295.268
2002-11-25,295.08
2002-11-26,300.548
2002-11-27,304.725
2002-11-28,307.051
2002-11-29,307.724
2002-12-02,314.017
2002-12-03,307.094
2002-12-04,304.561
2002-12-05,305.812
2002-12-06,303.583
2002-12-09,301.986
2002-12-10,305.918
2002-12-11,306.403
2002-12-12,306.555
2002-12-13,306.904
2002-12-16,307.245
2002-12-17,303.997
2002-12-18,303.271
2002-12-19,299.19
2002-12-20,299.421
2002-12-23,286.887
2002-12-24,284.364
2002-12-25,281.634
2002-12-26,284.674
2002-12-27,282.78
2002-12-30,282.49
2002-12-31,282.698
2003-01-01,284.56
2003-01-02,283.811
2003-01-03,283.169
2003-01-06,286.651
2003-01-07,283.557
2003-01-08,284.409
2003-01-09,283.063
2003-01-10,283.563
2003-01-13,276.983
2003-01-14,276.255
2003-01-15,277.405
2003-01-16,279.237
2003-01-17,277.112
2003-01-20,275.098
2003-01-21,275.086
2003-01-22,272.841
2003-01-23,274.15
2003-01-24,273.211
2003-01-27,273.07
2003-01-28,273.022
2003-01-29,275.678
2003-01-30,277.325
2003-01-31,276.231
2003-02-03,273.985
2003-02-04,268.502
2003-02-05,264.768
2003-02-06,263.4
2003-02-07,263.31
2003-02-10,262.357
2003-02-11,266.577
2003-02-12,264.68
2003-02-13,254.86
2003-02-14,256.513
2003-02-17,272.259
2003-02-18,275.364
2003-02-19,271.975
2003-02-20,270.214
2003-02-21,270.652
2003-02-24,269.624
2003-02-25,267.864
2003-02-26,269.234
2003-02-27,276.757
2003-02-28,277.642
2003-03-03,278.968
2003-03-04,277.265
2003-03-05,272.812
2003-03-06,276.499
2003-03-07,276.369
2003-03-10,272.233
2003-03-11,272.504
2003-03-12,273.034
2003-03-13,277.259
2003-03-14,275.791
2003-03-17,284.678
2003-03-18,284.836
2003-03-19,297.561
2003-03-20,295.921
2003-03-21,296.858
2003-03-24,299.533
2003-03-25,302.529
2003-03-26,313.619
2003-03-27,310.984
2003-03-28,310.676
2003-03-31,305.911
2003-04-01,310.502
2003-04-02,319.979
2003-04-03,323.472
2003-04-04,322.603
2003-04-07,329.134
2003-04-08,328.578
2003-04-09,333.262
2003-04-10,330.579
2003-04-11,330.339
2003-04-14,338.251
2003-04-15,344.563
2003-04-16,345.027
2003-04-17,345.23
2003-04-18,345.23
2003-04-21,346.515
2003-04-22,344.782
2003-04-23,344.823
2003-04-24,348.046
2003-04-25,347.443
2003-04-28,346.872
2003-04-29,354.361
2003-04-30,353.516
2003-05-01,354.569
2003-05-02,358.479
2003-05-05,361.255
2003-05-06,363.395
2003-05-07,363.696
2003-05-08,361.955
2003-05-09,363.412
2003-05-12,374.248
2003-05-13,370.082
2003-05-14,369.992
2003-05-15,368.672
2003-05-16,369.072
2003-05-19,358.941
2003-05-20,351.665
2003-05-21,343.764
2003-05-22,351.852
2003-05-23,356.238
2003-05-26,374.679
2003-05-27,375.687
2003-05-28,390.564
2003-05-29,390.422
2003-05-30,391.178
2003-06-02,393.885
2003-06-03,391.307
2003-06-04,382.482
2003-06-05,379.141
2003-06-06,379.925
2003-06-09,382.364
2003-06-10,378.583
2003-06-11,385.754
2003-06-12,389.891
2003-06-13,391.364
2003-06-16,411.313
2003-06-17,414.454
2003-06-18,411.429
2003-06-19,420.582
2003-06-20,420.881
2003-06-23,412.425
2003-06-24,407.303
2003-06-25,412.224
2003-06-26,418.006
2003-06-27,415.96
2003-06-30,425.805
2003-07-01,425.21
2003-07-02,430.434
2003-07-03,426.777
2003-07-04,427.269
2003-07-07,430.127
2003-07-08,415.317
2003-07-09,421.807
2003-07-10,417.386
2003-07-11,416.88
2003-07-14,413.51
2003-07-15,412.198
2003-07-16,409.432
2003-07-17,409.136
2003-07-18,408.793
2003-07-21,404.441
2003-07-22,405.919
2003-07-23,401.568
2003-07-24,400.106
2003-07-25,401.456
2003-07-28,413.159
2003-07-29,416.386
2003-07-30,409.844
2003-07-31,402.466
2003-08-01,401.639
2003-08-04,392.309
2003-08-05,396.108
2003-08-06,391.128
2003-08-07,390.848
2003-08-08,391.012
2003-08-11,384.457
2003-08-12,385.756
2003-08-13,394.128
2003-08-14,393.261
2003-08-15,393.801
2003-08-18,400.591
2003-08-19,403.473
2003-08-20,396.406
2003-08-21,392.912
2003-08-22,390.867
2003-08-25,397.908
2003-08-26,398.747
2003-08-27,401.519
2003-08-28,405.392
2003-08-29,406.548
2003-09-01,402.831
2003-09-02,407.328
2003-09-03,416.876
2003-09-04,416.015
2003-09-05,416.658
2003-09-08,412.748
2003-09-09,414.94
2003-09-10,410.171
2003-09-11,403.241
2003-09-12,400.96
2003-09-15,407.555
2003-09-16,406.42
2003-09-17,408.742
2003-09-18,412.636
2003-09-19,412.137
2003-09-22,415.769
2003-09-23,416.553
2003-09-24,419.513
2003-09-25,413.176
2003-09-26,412.816
2003-09-29,410.34
2003-09-30,408.343
2003-10-01,414.051
2003-10-02,418.161
2003-10-03,418.631
2003-10-06,418.582
2003-10-07,410.326
2003-10-08,408.589
2003-10-09,411.354
2003-10-10,411.08
2003-10-13,415.195
