Date,WORLD LARGE GROWTH Large Cap
2001-01-01,927.643
2001-01-02,896.967
2001-01-03,935.309
2001-01-04,937.787
2001-01-05,917.337
2001-01-08,910.674
2001-01-09,907.045
2001-01-10,912.432
2001-01-11,930.289
2001-01-12,932.1
2001-01-15,930.901
2001-01-16,930.579
2001-01-17,944.532
2001-01-18,965.237
2001-01-19,965.278
2001-01-22,962.336
2001-01-23,970.588
2001-01-24,970.171
2001-01-25,959.916
2001-01-26,957.411
2001-01-29,960.679
2001-01-30,964.164
2001-01-31,960.682
2001-02-01,961.92
2001-02-02,938.273
2001-02-05,936.284
2001-02-06,934.296
2001-02-07,922.339
2001-02-08,908.569
2001-02-09,890.384
2001-02-12,901.86
2001-02-13,890.867
2001-02-14,887.299
2001-02-15,898.161
2001-02-16,872.367
2001-02-19,870.232
2001-02-20,852.399
2001-02-21,838.535
2001-02-22,833.616
2001-02-23,827.419
2001-02-26,840.343
2001-02-27,832.237
2001-02-28,820.516
2001-03-01,820.876
2001-03-02,807.521
2001-03-05,813.923
2001-03-06,833.086
2001-03-07,834.047
2001-03-08,828.061
2001-03-09,805.582
2001-03-12,767.08
2001-03-13,771.003
2001-03-14,755.24
2001-03-15,758.669
2001-03-16,741.053
2001-03-19,748.58
2001-03-20,740.859
2001-03-21,734.31
2001-03-22,723.595
2001-03-23,745.439
2001-03-26,760.784
2001-03-27,777.145
2001-03-28,755.007
2001-03-29,740.478
2001-03-30,741.809
2001-04-02,730.823
2001-04-03,705.371
2001-04-04,708.957
2001-04-05,740.859
2001-04-06,731.946
2001-04-09,733.778
2001-04-10,751.209
2001-04-11,758.289
2001-04-12,771.918
2001-04-13,772.018
2001-04-16,762.647
2001-04-17,764.51
2001-04-18,802.415
2001-04-19,824.324
2001-04-20,820.02
2001-04-23,802.64
2001-04-24,791.807
2001-04-25,801.055
2001-04-26,805.107
2001-04-27,814.433
2001-04-30,819.914
2001-05-01,834.606
2001-05-02,841.036
2001-05-03,825.837
2001-05-04,835.035
2001-05-07,836.502
2001-05-08,833.441
2001-05-09,823.355
2001-05-10,824.867
2001-05-11,816.074
2001-05-14,807.484
2001-05-15,812.001
2001-05-16,824.815
2001-05-17,832.947
2001-05-18,832.996
2001-05-21,848.997
2001-05-22,847.95
2001-05-23,833.403
2001-05-24,835.061
2001-05-25,823.496
2001-05-28,823.303
2001-05-29,811.238
2001-05-30,792.765
2001-05-31,792.074
2001-06-01,794.321
2001-06-04,797.096
2001-06-05,808.504
2001-06-06,802.591
2001-06-07,809.384
2001-06-08,801.932
2001-06-11,790.052
2001-06-12,783.078
2001-06-13,778.219
2001-06-14,768.747
2001-06-15,762.154
2001-06-18,755.727
2001-06-19,756.177
2001-06-20,759.817
2001-06-21,766.361
2001-06-22,763.081
2001-06-25,760.53
2001-06-26,755.891
2001-06-27,752.733
