Date,WORLD LARGE GROWTH Large Cap
2001-01-01,910.951
2001-01-02,880.827
2001-01-03,918.488
2001-01-04,920.921
2001-01-05,900.839
2001-01-08,894.296
2001-01-09,890.733
2001-01-10,896.025
2001-01-11,913.562
2001-01-12,915.341
2001-01-15,914.163
2001-01-16,913.847
2001-01-17,927.55
2001-01-18,947.883
2001-01-19,947.924
2001-01-22,945.034
2001-01-23,953.138
2001-01-24,952.731
2001-01-25,942.66
2001-01-26,940.2
2001-01-29,943.411
2001-01-30,946.834
2001-01-31,943.43
2001-02-01,944.646
2001-02-02,921.425
2001-02-05,919.475
2001-02-06,917.523
2001-02-07,905.79
2001-02-08,892.268
2001-02-09,874.409
2001-02-12,885.679
2001-02-13,874.891
2001-02-14,871.407
2001-02-15,882.078
2001-02-16,856.746
2001-02-19,854.65
2001-02-20,837.146
2001-02-21,823.531
2001-02-22,818.701
2001-02-23,812.645
2001-02-26,825.339
2001-02-27,817.379
2001-02-28,805.869
2001-03-01,806.225
2001-03-02,793.109
2001-03-05,799.439
2001-03-06,818.263
2001-03-07,819.212
2001-03-08,813.333
2001-03-09,791.258
2001-03-12,753.44
2001-03-13,757.307
2001-03-14,741.826
2001-03-15,745.194
2001-03-16,727.891
2001-03-19,735.298
2001-03-20,727.714
2001-03-21,721.292
2001-03-22,710.797
2001-03-23,732.256
2001-03-26,747.345
2001-03-27,763.482
2001-03-28,741.735
2001-03-29,727.474
2001-03-30,728.79
2001-04-02,717.997
2001-04-03,692.992
2001-04-04,696.524
2001-04-05,727.867
2001-04-06,719.135
2001-04-09,720.934
2001-04-10,738.068
2001-04-11,745.062
2001-04-12,758.454
2001-04-13,758.552
2001-04-16,749.344
2001-04-17,751.202
2001-04-18,788.449
2001-04-19,809.978
2001-04-20,805.749
2001-04-23,788.718
2001-04-24,778.078
2001-04-25,787.167
2001-04-26,791.152
2001-04-27,800.323
2001-04-30,805.714
2001-05-01,820.158
2001-05-02,826.505
2001-05-03,811.579
2001-05-04,820.634
2001-05-07,822.087
2001-05-08,819.087
2001-05-09,809.18
2001-05-10,810.671
2001-05-11,802.047
2001-05-14,793.61
2001-05-15,798.05
2001-05-16,810.669
2001-05-17,818.668
2001-05-18,818.72
2001-05-21,834.489
2001-05-22,833.461
2001-05-23,819.17
2001-05-24,820.802
2001-05-25,809.447
2001-05-28,809.259
2001-05-29,797.399
2001-05-30,779.247
2001-05-31,778.572
2001-06-01,780.793
2001-06-04,783.522
2001-06-05,794.742
2001-06-06,788.949
2001-06-07,795.627
2001-06-08,788.312
2001-06-11,776.64
2001-06-12,769.787
2001-06-13,765.016
2001-06-14,755.711
2001-06-15,749.23
2001-06-18,742.916
2001-06-19,743.359
2001-06-20,746.948
2001-06-21,753.384
2001-06-22,750.16
2001-06-25,747.618
2001-06-26,743.058
2001-06-27,739.955
2001-06-28,745.602
2001-06-29,747.647
2001-07-02,755.813
2001-07-03,753.25
2001-07-04,749.288
2001-07-05,733.692
2001-07-06,716.258
2001-07-09,720.604
2001-07-10,712.943
2001-07-11,708.493
2001-07-12,725.587
2001-07-13,728.712
2001-07-16,720.56
2001-07-17,721.43
2001-07-18,717.163
2001-07-19,724.747
2001-07-20,722.611
2001-07-23,710.341
2001-07-24,704.644
2001-07-25,709.575
2001-07-26,715.505
2001-07-27,719.408
2001-07-30,719.413
2001-07-31,726.73
2001-08-01,733.283
2001-08-02,739.922
2001-08-03,735.21
2001-08-06,727.635
2001-08-07,727.961
2001-08-08,715.375
2001-08-09,710.132
2001-08-10,710.912
2001-08-13,711.767
2001-08-14,713.538
2001-08-15,710.78
2001-08-16,707.259
2001-08-17,694.766
2001-08-20,694.87
2001-08-21,691.257
2001-08-22,695.397
2001-08-23,689.971
2001-08-24,705.382
2001-08-27,704.814
2001-08-28,692.507
2001-08-29,685.597
2001-08-30,669.919
2001-08-31,672.244
2001-09-03,667.21
2001-09-04,666.299
2001-09-05,659.079
2001-09-06,643.327
2001-09-07,632.836
2001-09-10,631.792
2001-09-11,622.36
2001-09-12,621.412
2001-09-13,625.139
2001-09-14,621.126
2001-09-17,601.972
2001-09-18,599.368
2001-09-19,595.085
2001-09-20,578.246
2001-09-21,564.385
2001-09-24,588.985
2001-09-25,596.975
2001-09-26,594.383
2001-09-27,598.605
