Date,AUSTRALIA SMID CAP SMID (Small+Mid Cap)
2001-01-01,200.68
2001-01-02,203.677
2001-01-03,204.465
2001-01-04,206.858
2001-01-05,208.446
2001-01-08,205.486
2001-01-09,202.838
2001-01-10,201.71
2001-01-11,200.736
2001-01-12,200.063
2001-01-15,197.327
2001-01-16,198.002
2001-01-17,197.991
2001-01-18,202.13
2001-01-19,203.874
2001-01-22,203.531
2001-01-23,202.778
2001-01-24,199.471
2001-01-25,200.369
2001-01-26,199.818
2001-01-29,200.944
2001-01-30,201.761
2001-01-31,203.197
2001-02-01,206.316
2001-02-02,204.524
2001-02-05,203.02
2001-02-06,203.177
2001-02-07,200.526
2001-02-08,197.396
2001-02-09,195.734
2001-02-12,197.159
2001-02-13,195.835
2001-02-14,193.756
2001-02-15,190.418
2001-02-16,192.76
2001-02-19,191.397
2001-02-20,189.986
2001-02-21,191.497
2001-02-22,190.587
2001-02-23,189.628
2001-02-26,190.209
2001-02-27,191.335
2001-02-28,192.447
2001-03-01,193.387
2001-03-02,195.134
2001-03-05,193.25
2001-03-06,192.113
2001-03-07,190.22
2001-03-08,189.247
2001-03-09,188.161
2001-03-12,187.131
2001-03-13,182.433
2001-03-14,181.848
2001-03-15,177.726
2001-03-16,177.592
2001-03-19,178.208
2001-03-20,178.942
2001-03-21,177.743
2001-03-22,176.499
2001-03-23,176.804
2001-03-26,178.705
2001-03-27,179.749
2001-03-28,177.607
2001-03-29,176.232
2001-03-30,173.848
2001-04-02,174.906
2001-04-03,174.321
2001-04-04,176.705
2001-04-05,177.64
2001-04-06,180.114
2001-04-09,179.451
2001-04-10,180.03
2001-04-11,182.134
2001-04-12,184.842
2001-04-13,184.842
2001-04-16,185.425
2001-04-17,183.357
2001-04-18,180.76
2001-04-19,186.974
2001-04-20,189.159
2001-04-23,183.397
2001-04-24,182.129
2001-04-25,182.563
2001-04-26,186.076
2001-04-27,186.229
2001-04-30,187.6
2001-05-01,189.932
2001-05-02,191.017
