Date,AUSTRALIA SMID CAP SMID (Small+Mid Cap)
2001-01-01,217.192
2001-01-02,220.432
2001-01-03,221.285
2001-01-04,223.874
2001-01-05,225.593
2001-01-08,222.389
2001-01-09,219.524
2001-01-10,218.302
2001-01-11,217.249
2001-01-12,216.52
2001-01-15,213.555
2001-01-16,214.287
2001-01-17,214.274
2001-01-18,218.754
2001-01-19,220.641
2001-01-22,220.27
2001-01-23,219.455
2001-01-24,215.876
2001-01-25,216.849
2001-01-26,216.251
2001-01-29,217.471
2001-01-30,218.334
2001-01-31,219.887
2001-02-01,223.263
2001-02-02,221.324
2001-02-05,219.674
2001-02-06,219.844
2001-02-07,216.973
2001-02-08,213.585
2001-02-09,211.786
2001-02-12,213.267
2001-02-13,211.835
2001-02-14,209.582
2001-02-15,205.957
2001-02-16,208.483
2001-02-19,206.995
2001-02-20,205.454
2001-02-21,207.084
2001-02-22,206.096
2001-02-23,205.059
2001-02-26,205.674
2001-02-27,206.887
2001-02-28,208.08
2001-03-01,209.061
2001-03-02,210.945
2001-03-05,208.81
2001-03-06,207.577
2001-03-07,205.513
2001-03-08,204.428
2001-03-09,203.21
2001-03-12,202.098
2001-03-13,197.019
2001-03-14,196.369
2001-03-15,191.917
2001-03-16,191.766
2001-03-19,192.401
2001-03-20,193.177
2001-03-21,191.883
2001-03-22,190.52
2001-03-23,190.845
2001-03-26,192.803
2001-03-27,193.926
2001-03-28,191.578
2001-03-29,190.078
2001-03-30,187.506
2001-04-02,188.641
2001-04-03,188.009
2001-04-04,190.574
2001-04-05,191.578
2001-04-06,194.244
2001-04-09,193.524
2001-04-10,194.148
2001-04-11,196.414
2001-04-12,199.334
2001-04-13,199.334
2001-04-16,199.962
2001-04-17,197.72
2001-04-18,194.915
2001-04-19,201.614
2001-04-20,203.969
2001-04-23,197.756
2001-04-24,196.384
2001-04-25,196.852
2001-04-26,200.64
2001-04-27,200.805
2001-04-30,202.282
2001-05-01,204.795
2001-05-02,205.965
2001-05-03,207.13
2001-05-04,206.492
2001-05-07,207.283
2001-05-08,207.047
2001-05-09,209.504
2001-05-10,213.011
2001-05-11,211.017
2001-05-14,209.086
2001-05-15,209.947
2001-05-16,211.415
2001-05-17,215.191
2001-05-18,213.813
2001-05-21,217.164
2001-05-22,213.299
2001-05-23,212.044
2001-05-24,211.026
2001-05-25,211.406
2001-05-28,211.531
2001-05-29,209.263
2001-05-30,208.001
2001-05-31,204.053
2001-06-01,205.706
2001-06-04,206.611
2001-06-05,206.202
2001-06-06,207.245
2001-06-07,211.166
2001-06-08,212.162
2001-06-11,211.723
2001-06-12,211.155
2001-06-13,214.354
2001-06-14,214.852
2001-06-15,214.934
2001-06-18,211.534
2001-06-19,211.263
2001-06-20,211.437
2001-06-21,212.594
2001-06-22,212.853
2001-06-25,213.356
2001-06-26,215.07
2001-06-27,214.776
2001-06-28,212.104
2001-06-29,214.5
2001-07-02,212.557
2001-07-03,215.265
2001-07-04,216.315
2001-07-05,215.192
2001-07-06,210.11
2001-07-09,209.833
2001-07-10,211.918
2001-07-11,210.933
2001-07-12,211.456
2001-07-13,213.4
2001-07-16,215.024
2001-07-17,212.846
2001-07-18,215.622
2001-07-19,215.561
2001-07-20,212.078
2001-07-23,212.228
2001-07-24,211.516
2001-07-25,210.203
2001-07-26,209.066
2001-07-27,208.357
2001-07-30,209.174
2001-07-31,210.189
2001-08-01,214.977
2001-08-02,218.011
2001-08-03,217.685
2001-08-06,218.466
2001-08-07,217.565
2001-08-08,218.856
2001-08-09,218.532
2001-08-10,218.712
2001-08-13,220.202
2001-08-14,219.414
2001-08-15,222.329
2001-08-16,220.523
2001-08-17,224.272
2001-08-20,220.76
2001-08-21,221.356
2001-08-22,223.905
2001-08-23,222.602
2001-08-24,222.604
2001-08-27,223.298
2001-08-28,224.147
2001-08-29,224.038
2001-08-30,224.12
2001-08-31,219.4
2001-09-03,219.994
2001-09-04,219.166
2001-09-05,217.44
2001-09-06,218.249
2001-09-07,216.268
2001-09-10,213.206
2001-09-11,216.855
2001-09-12,209.082
2001-09-13,208.677
2001-09-14,206.64
2001-09-17,192.645
2001-09-18,192.777
2001-09-19,194.147
2001-09-20,191.522
2001-09-21,186.656
2001-09-24,186.319
2001-09-25,189.038
2001-09-26,188.872
2001-09-27,188.801
2001-09-28,195.13
2001-10-01,196.595
2001-10-02,199.84
2001-10-03,200.9
2001-10-04,201.417
2001-10-05,206.197
2001-10-08,206.486
2001-10-09,204.972
2001-10-10,204.79
2001-10-11,205.182
2001-10-12,206.059
2001-10-15,210.129
2001-10-16,211.102
2001-10-17,213.05
2001-10-18,209.819
2001-10-19,208.412
2001-10-22,209.415
2001-10-23,210.457
2001-10-24,210.699
2001-10-25,211.865
2001-10-26,211.126
2001-10-29,212.784
2001-10-30,213.273
2001-10-31,211.833
2001-11-01,214.517
2001-11-02,214.713
