Date,GERMANY LARGE CAP Large Cap
2001-01-01,574.678
2001-01-02,568.342
2001-01-03,578.631
2001-01-04,574.621
2001-01-05,577.272
2001-01-08,575.744
2001-01-09,570.416
2001-01-10,563.697
2001-01-11,581.296
2001-01-12,582.185
2001-01-15,581.071
2001-01-16,579.02
2001-01-17,586.11
2001-01-18,594.249
2001-01-19,588.473
2001-01-22,591.106
2001-01-23,597.115
2001-01-24,585.967
2001-01-25,584.468
2001-01-26,582.792
2001-01-29,585.562
2001-01-30,588.338
2001-01-31,596.232
2001-02-01,595.346
2001-02-02,585.976
2001-02-05,589.429
2001-02-06,589.535
2001-02-07,580.828
2001-02-08,576.614
2001-02-09,568.018
2001-02-12,577.718
2001-02-13,572.263
2001-02-14,563.603
2001-02-15,563.555
2001-02-16,558.537
2001-02-19,563.62
2001-02-20,554.671
2001-02-21,548.431
2001-02-22,540.413
2001-02-23,524.596
2001-02-26,535.008
2001-02-27,542.938
2001-02-28,546.73
2001-03-01,545.109
2001-03-02,551.447
2001-03-05,552.472
2001-03-06,559.399
2001-03-07,558.828
2001-03-08,558.513
2001-03-09,553.12
2001-03-12,538.133
2001-03-13,523.324
2001-03-14,505.665
2001-03-15,512.382
2001-03-16,492.883
2001-03-19,486.479
2001-03-20,499.899
2001-03-21,482.68
2001-03-22,455.244
2001-03-23,473.854
2001-03-26,490.624
2001-03-27,509.168
2001-03-28,494.35
2001-03-29,495.119
2001-03-30,493.849
2001-04-02,485.56
2001-04-03,470.52
2001-04-04,482.783
2001-04-05,493.48
2001-04-06,490.538
2001-04-09,497.418
2001-04-10,501.48
2001-04-11,501.446
2001-04-12,510.905
2001-04-13,510.905
2001-04-16,505.672
2001-04-17,498.221
2001-04-18,512.304
2001-04-19,522.887
2001-04-20,524.997
2001-04-23,516.395
2001-04-24,520.726
2001-04-25,522.473
2001-04-26,526.144
2001-04-27,524.549
2001-04-30,528.709
2001-05-01,531.512
2001-05-02,528.517
2001-05-03,519.711
2001-05-04,524.024
2001-05-07,520.843
2001-05-08,516.451
2001-05-09,511.62
2001-05-10,519.466
2001-05-11,512.97
2001-05-14,505.187
2001-05-15,508.987
2001-05-16,517.473
2001-05-17,518.576
2001-05-18,517.303
2001-05-21,520.974
2001-05-22,518.482
2001-05-23,510.318
2001-05-24,513.114
2001-05-25,507.855
2001-05-28,509.069
2001-05-29,498.169
2001-05-30,493.434
2001-05-31,494.132
2001-06-01,493.818
2001-06-04,498.706
2001-06-05,503.341
2001-06-06,498.181
2001-06-07,499.608
2001-06-08,499.484
2001-06-11,493.524
2001-06-12,490.125
2001-06-13,496.535
2001-06-14,494.313
2001-06-15,487.391
2001-06-18,483.48
2001-06-19,485.267
2001-06-20,478.596
2001-06-21,482.76
2001-06-22,485.489
2001-06-25,485.968
2001-06-26,482.221
2001-06-27,480.248
2001-06-28,484.621
2001-06-29,490.335
2001-07-02,494.161
2001-07-03,489.884
2001-07-04,486.172
2001-07-05,479.646
2001-07-06,473.227
2001-07-09,476.161
2001-07-10,476.079
2001-07-11,477.556
2001-07-12,479.623
2001-07-13,483.783
2001-07-16,479.952
2001-07-17,476.811
2001-07-18,478.649
2001-07-19,485.823
2001-07-20,483.086
2001-07-23,483.36
2001-07-24,476.974
2001-07-25,472.588
2001-07-26,479.266
2001-07-27,484.469
2001-07-30,489.104
2001-07-31,494.301
2001-08-01,494.709
2001-08-02,491.617
2001-08-03,489.409
2001-08-06,486.9
2001-08-07,485.826
2001-08-08,473.884
2001-08-09,472.204
2001-08-10,469.128
2001-08-13,472.979
2001-08-14,477.857
2001-08-15,479.436
2001-08-16,472.683
2001-08-17,463.355
2001-08-20,460.319
2001-08-21,460.961
2001-08-22,465.615
2001-08-23,464.637
2001-08-24,476.536
2001-08-27,476.433
2001-08-28,467.515
2001-08-29,467.559
2001-08-30,454.15
2001-08-31,455.894
2001-09-03,446.898
2001-09-04,448.538
2001-09-05,433.952
2001-09-06,420.457
2001-09-07,414.145
2001-09-10,407.008
2001-09-11,376.684
2001-09-12,382.042
2001-09-13,388.277
2001-09-14,369.326
2001-09-17,378.982
2001-09-18,376.978
2001-09-19,367.481
2001-09-20,346.54
2001-09-21,340.015
2001-09-24,360.818
2001-09-25,361.399
2001-09-26,368.343
2001-09-27,375.797
2001-09-28,382.227
2001-10-01,378.918
2001-10-02,385.297
2001-10-03,398.318
2001-10-04,404.682
2001-10-05,402.068
2001-10-08,402.484
2001-10-09,400.123
2001-10-10,409.297
2001-10-11,414.222
2001-10-12,408.096
2001-10-15,402.185
2001-10-16,409.975
2001-10-17,410.356
2001-10-18,402.664
2001-10-19,394.859
2001-10-22,401.317
2001-10-23,407.093
2001-10-24,417.402
2001-10-25,411.049
2001-10-26,418.301
2001-10-29,410.262
2001-10-30,402.256
2001-10-31,399.672
2001-11-01,409.25
2001-11-02,403.603
2001-11-05,414.724
2001-11-06,410.75
2001-11-07,424.71
2001-11-08,432.295
2001-11-09,425.731
2001-11-12,418.408
2001-11-13,423.32
2001-11-14,424.745
2001-11-15,427.714
2001-11-16,434.427
2001-11-19,442.806
2001-11-20,436.73
2001-11-21,432.993
2001-11-22,437.961
2001-11-23,438.895
2001-11-26,436.785
2001-11-27,433.073
2001-11-28,422.642
2001-11-29,426.141
2001-11-30,434.986
2001-12-03,432.219
2001-12-04,435.554
2001-12-05,454.354
2001-12-06,456.211
2001-12-07,450.139
2001-12-10,442.146
2001-12-11,444.201
2001-12-12,440.02
2001-12-13,432.854
2001-12-14,430.079
2001-12-17,444.764
2001-12-18,441.275
