Date,FRANCE IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,656.758
2001-01-02,643.241
2001-01-03,623.157
2001-01-04,642.269
2001-01-05,639.459
2001-01-08,631.937
2001-01-09,616.894
2001-01-10,618.89
2001-01-11,631.106
2001-01-12,653.025
2001-01-15,647.198
2001-01-16,638.599
2001-01-17,650.996
2001-01-18,661.388
2001-01-19,658.32
2001-01-22,659.918
2001-01-23,656.643
2001-01-24,650.491
2001-01-25,649.897
2001-01-26,650.518
2001-01-29,642.162
2001-01-30,649.94
2001-01-31,665.04
2001-02-01,661.526
2001-02-02,646.653
2001-02-05,648.623
2001-02-06,646.18
2001-02-07,633.576
2001-02-08,626.422
2001-02-09,620.685
2001-02-12,629.455
2001-02-13,621.166
2001-02-14,603.325
2001-02-15,605.29
2001-02-16,597.4
2001-02-19,597.381
2001-02-20,585.684
2001-02-21,578.258
2001-02-22,573.676
2001-02-23,557.27
2001-02-26,569.369
2001-02-27,577.637
2001-02-28,565.979
2001-03-01,560.547
2001-03-02,562.208
2001-03-05,570.467
2001-03-06,586.796
2001-03-07,586.218
2001-03-08,580.281
2001-03-09,569.541
2001-03-12,550.356
2001-03-13,540.071
2001-03-14,529.757
2001-03-15,532.871
2001-03-16,515.89
2001-03-19,511.656
2001-03-20,526.4
2001-03-21,508.149
2001-03-22,481.912
2001-03-23,504.892
2001-03-26,524.349
2001-03-27,536.768
2001-03-28,523.381
2001-03-29,516.405
2001-03-30,517.889
2001-04-02,518.694
2001-04-03,499.61
2001-04-04,515.481
2001-04-05,523.72
2001-04-06,523.757
2001-04-09,528.951
2001-04-10,539.755
2001-04-11,541.029
2001-04-12,545.485
2001-04-13,545.485
2001-04-16,539.899
2001-04-17,533.132
2001-04-18,549.672
2001-04-19,557.373
2001-04-20,561.615
2001-04-23,553.319
2001-04-24,552.087
2001-04-25,552.128
2001-04-26,564.852
2001-04-27,567.304
2001-04-30,574.549
2001-05-01,577.597
2001-05-02,572.314
2001-05-03,562.387
2001-05-04,561.156
2001-05-07,562.769
2001-05-08,561.112
2001-05-09,558.459
2001-05-10,566.709
2001-05-11,557.566
2001-05-14,545.422
2001-05-15,552.888
2001-05-16,552.408
2001-05-17,558.753
2001-05-18,557.136
2001-05-21,558.017
2001-05-22,561.0
2001-05-23,550.682
2001-05-24,549.029
2001-05-25,542.862
2001-05-28,548.085
2001-05-29,535.94
2001-05-30,526.577
2001-05-31,520.701
2001-06-01,518.387
2001-06-04,519.096
2001-06-05,527.224
2001-06-06,523.755
2001-06-07,523.614
2001-06-08,521.713
2001-06-11,515.089
2001-06-12,508.974
2001-06-13,512.68
2001-06-14,511.567
2001-06-15,506.571
2001-06-18,499.327
2001-06-19,500.0
2001-06-20,493.369
2001-06-21,489.783
2001-06-22,493.245
2001-06-25,498.326
2001-06-26,488.28
2001-06-27,483.596
2001-06-28,484.168
2001-06-29,490.045
2001-07-02,495.931
2001-07-03,487.015
2001-07-04,483.093
2001-07-05,471.901
2001-07-06,465.573
2001-07-09,471.542
2001-07-10,471.308
2001-07-11,469.605
2001-07-12,470.044
2001-07-13,474.017
2001-07-16,474.786
2001-07-17,468.587
2001-07-18,470.256
2001-07-19,476.963
2001-07-20,475.103
2001-07-23,474.335
2001-07-24,472.375
2001-07-25,467.041
2001-07-26,471.091
2001-07-27,480.828
2001-07-30,487.625
2001-07-31,493.236
2001-08-01,499.229
2001-08-02,498.115
2001-08-03,493.525
2001-08-06,493.442
2001-08-07,489.394
2001-08-08,482.434
2001-08-09,478.74
2001-08-10,478.241
2001-08-13,486.693
2001-08-14,489.633
2001-08-15,495.408
2001-08-16,491.908
2001-08-17,483.467
2001-08-20,480.981
2001-08-21,487.352
2001-08-22,489.648
2001-08-23,485.758
2001-08-24,495.539
2001-08-27,492.957
2001-08-28,483.77
2001-08-29,485.944
2001-08-30,474.221
2001-08-31,473.701
2001-09-03,467.609
2001-09-04,464.3
2001-09-05,454.744
2001-09-06,449.556
2001-09-07,450.182
2001-09-10,444.68
2001-09-11,419.821
2001-09-12,423.502
2001-09-13,422.732
2001-09-14,408.715
2001-09-17,415.193
2001-09-18,414.788
2001-09-19,409.631
2001-09-20,395.136
2001-09-21,380.858
2001-09-24,398.563
2001-09-25,406.135
2001-09-26,412.654
2001-09-27,414.97
2001-09-28,418.567
2001-10-01,415.867
2001-10-02,417.679
2001-10-03,417.583
2001-10-04,430.15
2001-10-05,431.411
2001-10-08,434.063
2001-10-09,435.307
2001-10-10,446.525
2001-10-11,441.782
2001-10-12,444.006
2001-10-15,435.861
2001-10-16,445.292
2001-10-17,453.392
2001-10-18,445.304
2001-10-19,436.901
2001-10-22,441.188
2001-10-23,451.466
2001-10-24,455.282
2001-10-25,447.298
2001-10-26,454.46
2001-10-29,452.247
2001-10-30,441.259
2001-10-31,444.682
2001-11-01,450.142
2001-11-02,448.989
2001-11-05,456.425
2001-11-06,452.752
2001-11-07,457.738
2001-11-08,459.243
2001-11-09,454.827
2001-11-12,443.12
2001-11-13,454.529
2001-11-14,456.311
2001-11-15,452.238
2001-11-16,455.604
2001-11-19,460.271
