Date,WORLD IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,795.455
2001-01-02,768.367
2001-01-03,798.034
2001-01-04,798.064
2001-01-05,780.315
2001-01-08,773.879
2001-01-09,771.372
2001-01-10,777.552
2001-01-11,792.966
2001-01-12,796.16
2001-01-15,795.378
2001-01-16,795.567
2001-01-17,806.967
2001-01-18,822.986
2001-01-19,823.206
2001-01-22,821.105
2001-01-23,829.359
2001-01-24,829.03
2001-01-25,821.175
2001-01-26,819.384
2001-01-29,823.708
2001-01-30,827.153
2001-01-31,825.037
2001-02-01,825.959
2001-02-02,806.877
2001-02-05,804.409
2001-02-06,804.274
2001-02-07,794.472
2001-02-08,783.559
2001-02-09,769.486
2001-02-12,777.832
2001-02-13,768.934
2001-02-14,766.421
2001-02-15,775.189
2001-02-16,755.271
2001-02-19,753.341
2001-02-20,738.353
2001-02-21,726.295
2001-02-22,720.827
2001-02-23,716.72
2001-02-26,728.213
2001-02-27,720.767
2001-02-28,710.186
2001-03-01,709.277
2001-03-02,699.583
2001-03-05,703.358
2001-03-06,719.395
2001-03-07,720.714
2001-03-08,715.308
2001-03-09,697.17
2001-03-12,665.246
2001-03-13,666.838
2001-03-14,653.43
2001-03-15,654.961
2001-03-16,639.622
2001-03-19,646.615
2001-03-20,640.397
2001-03-21,633.383
2001-03-22,623.349
2001-03-23,642.392
2001-03-26,655.584
2001-03-27,668.098
2001-03-28,650.421
2001-03-29,638.681
2001-03-30,640.355
2001-04-02,629.796
2001-04-03,608.178
2001-04-04,610.474
2001-04-05,637.494
2001-04-06,630.226
2001-04-09,632.271
2001-04-10,647.317
2001-04-11,652.708
2001-04-12,664.851
2001-04-13,664.978
2001-04-16,657.23
2001-04-17,659.083
2001-04-18,690.243
2001-04-19,708.557
2001-04-20,705.125
2001-04-23,690.547
2001-04-24,682.542
2001-04-25,691.084
2001-04-26,695.502
2001-04-27,702.8
2001-04-30,708.334
2001-05-01,720.226
2001-05-02,726.069
2001-05-03,713.688
2001-05-04,721.239
2001-05-07,721.809
2001-05-08,719.569
2001-05-09,711.668
2001-05-10,712.461
2001-05-11,705.498
2001-05-14,698.272
2001-05-15,702.026
2001-05-16,713.009
2001-05-17,721.287
2001-05-18,721.514
2001-05-21,735.997
2001-05-22,735.786
2001-05-23,723.48
2001-05-24,724.99
2001-05-25,716.765
2001-05-28,716.561
2001-05-29,705.905
2001-05-30,689.825
2001-05-31,689.978
2001-06-01,692.616
2001-06-04,695.003
2001-06-05,704.988
2001-06-06,699.927
2001-06-07,705.588
2001-06-08,699.539
2001-06-11,688.831
2001-06-12,682.995
2001-06-13,679.452
2001-06-14,670.001
2001-06-15,664.718
2001-06-18,658.294
2001-06-19,658.082
2001-06-20,660.874
2001-06-21,665.858
2001-06-22,662.755
2001-06-25,661.098
2001-06-26,658.046
2001-06-27,656.118
2001-06-28,660.779
2001-06-29,665.192
2001-07-02,669.285
2001-07-03,666.791
2001-07-04,663.516
2001-07-05,650.544
2001-07-06,635.568
2001-07-09,638.203
2001-07-10,631.892
2001-07-11,627.981
2001-07-12,642.577
2001-07-13,644.928
2001-07-16,637.48
2001-07-17,638.368
2001-07-18,634.719
2001-07-19,640.693
2001-07-20,639.159
2001-07-23,629.053
2001-07-24,623.576
2001-07-25,627.828
2001-07-26,633.527
2001-07-27,637.193
2001-07-30,636.574
2001-07-31,642.153
2001-08-01,648.049
2001-08-02,653.535
2001-08-03,649.68
2001-08-06,642.967
2001-08-07,642.415
2001-08-08,631.775
2001-08-09,627.504
2001-08-10,628.144
2001-08-13,629.342
2001-08-14,631.007
2001-08-15,629.16
2001-08-16,625.967
2001-08-17,616.019
2001-08-20,615.429
2001-08-21,612.003
2001-08-22,615.991
2001-08-23,611.534
2001-08-24,623.958
2001-08-27,623.733
2001-08-28,613.683
2001-08-29,608.427
2001-08-30,595.743
2001-08-31,597.299
2001-09-03,592.866
2001-09-04,591.325
2001-09-05,584.301
2001-09-06,571.217
2001-09-07,562.801
2001-09-10,560.257
2001-09-11,552.606
2001-09-12,549.961
2001-09-13,552.881
2001-09-14,549.718
2001-09-17,530.85
2001-09-18,527.295
2001-09-19,523.215
2001-09-20,508.232
2001-09-21,495.799
2001-09-24,515.701
2001-09-25,522.44
2001-09-26,519.836
2001-09-27,523.106
2001-09-28,534.669
2001-10-01,531.744
2001-10-02,537.237
2001-10-03,547.172
2001-10-04,553.443
2001-10-05,555.969
2001-10-08,554.169
2001-10-09,549.633
2001-10-10,559.67
2001-10-11,572.212
2001-10-12,572.812
2001-10-15,569.21
2001-10-16,573.992
2001-10-17,569.766
2001-10-18,563.39
2001-10-19,563.1
2001-10-22,570.278
2001-10-23,573.461
2001-10-24,576.776
2001-10-25,580.539
2001-10-26,583.552
2001-10-29,571.826
2001-10-30,561.132
2001-10-31,562.641
2001-11-01,573.111
2001-11-02,573.985
2001-11-05,582.623
2001-11-06,590.494
2001-11-07,589.688
2001-11-08,592.5
2001-11-09,590.469
2001-11-12,587.195
2001-11-13,597.322
2001-11-14,600.845
2001-11-15,604.038
2001-11-16,605.493
2001-11-19,611.615
2001-11-20,603.847
2001-11-21,600.11
2001-11-22,602.517
2001-11-23,604.981
2001-11-26,612.476
2001-11-27,609.257
2001-11-28,599.514
2001-11-29,602.511
2001-11-30,605.35
2001-12-03,597.993
2001-12-04,607.195
2001-12-05,624.007
2001-12-06,625.451
2001-12-07,619.095
2001-12-10,607.544
2001-12-11,607.393
2001-12-12,609.095
2001-12-13,597.314
2001-12-14,597.087
2001-12-17,604.611
2001-12-18,606.847
2001-12-19,604.701
2001-12-20,598.643
2001-12-21,601.094
2001-12-24,599.107
2001-12-25,598.711
2001-12-26,600.107
2001-12-27,607.359
2001-12-28,610.45
2001-12-31,607.546
2002-01-01,607.546
2002-01-02,609.736
2002-01-03,617.388
2002-01-04,620.658
2002-01-07,615.738
2002-01-08,612.119
2002-01-09,609.962
2002-01-10,607.978
2002-01-11,604.623
2002-01-14,598.286
2002-01-15,599.232
2002-01-16,589.136
2002-01-17,594.38
2002-01-18,589.906
2002-01-21,588.289
2002-01-22,582.667
2002-01-23,586.002
2002-01-24,589.086
2002-01-25,585.924
2002-01-28,587.051
2002-01-29,575.232
2002-01-30,575.842
2002-01-31,582.203
2002-02-01,578.543
2002-02-04,568.082
2002-02-05,563.077
2002-02-06,559.082
2002-02-07,559.09
2002-02-08,565.097
2002-02-11,573.628
2002-02-12,573.154
2002-02-13,577.293
2002-02-14,577.364
2002-02-15,571.124
2002-02-18,569.559
2002-02-19,558.548
2002-02-20,561.059
2002-02-21,556.912
2002-02-22,557.808
2002-02-25,564.491
2002-02-26,565.013
2002-02-27,567.811
2002-02-28,566.405
2002-03-01,577.621
2002-03-04,593.01
2002-03-05,591.191
2002-03-06,597.605
2002-03-07,602.48
2002-03-08,607.691
2002-03-11,607.911
2002-03-12,600.613
2002-03-13,594.977
2002-03-14,597.395
2002-03-15,602.993
2002-03-18,603.124
2002-03-19,605.359
2002-03-20,597.002
2002-03-21,597.652
2002-03-22,594.815
2002-03-25,586.671
2002-03-26,588.061
2002-03-27,589.83
2002-03-28,593.656
2002-03-29,592.614
2002-04-01,593.863
2002-04-02,588.576
2002-04-03,585.619
2002-04-04,585.718
2002-04-05,583.226
2002-04-08,581.09
2002-04-09,577.297
2002-04-10,582.572
2002-04-11,571.133
2002-04-12,573.486
2002-04-15,573.637
2002-04-16,585.913
2002-04-17,587.463
2002-04-18,586.637
2002-04-19,585.522
2002-04-22,579.393
2002-04-23,576.022
2002-04-24,573.299
2002-04-25,573.291
2002-04-26,565.856
2002-04-29,562.589
2002-04-30,566.09
2002-05-01,569.639
2002-05-02,565.114
2002-05-03,560.683
2002-05-06,554.534
2002-05-07,549.473
2002-05-08,568.055
2002-05-09,562.06
2002-05-10,554.343
2002-05-13,560.592
2002-05-14,569.191
2002-05-15,572.189
2002-05-16,574.509
2002-05-17,581.24
2002-05-20,576.409
2002-05-21,570.462
2002-05-22,571.12
2002-05-23,573.167
2002-05-24,568.827
2002-05-27,567.727
2002-05-28,565.807
2002-05-29,562.563
2002-05-30,561.267
2002-05-31,560.968
2002-06-03,552.274
2002-06-04,549.862
2002-06-05,551.47
2002-06-06,545.53
2002-06-07,541.377
2002-06-10,542.555
2002-06-11,537.175
2002-06-12,535.51
2002-06-13,529.485
2002-06-14,525.529
2002-06-17,537.831
2002-06-18,537.621
2002-06-19,529.577
2002-06-20,523.358
2002-06-21,516.581
2002-06-24,516.756
2002-06-25,512.483
2002-06-26,512.066
2002-06-27,519.471
2002-06-28,524.274
2002-07-01,515.668
2002-07-02,503.082
2002-07-03,502.508
2002-07-04,504.778
2002-07-05,522.171
2002-07-08,518.714
2002-07-09,511.268
2002-07-10,495.649
2002-07-11,493.448
2002-07-12,493.896
2002-07-15,488.238
2002-07-16,483.583
2002-07-17,489.538
2002-07-18,484.216
2002-07-19,467.882
2002-07-22,452.604
2002-07-23,441.23
2002-07-24,453.679
2002-07-25,454.222
2002-07-26,455.666
2002-07-29,476.446
2002-07-30,479.592
2002-07-31,478.96
2002-08-01,465.742
2002-08-02,459.172
2002-08-05,445.295
2002-08-06,454.255
2002-08-07,460.865
2002-08-08,473.473
2002-08-09,476.898
2002-08-12,472.938
2002-08-13,467.664
2002-08-14,478.578
2002-08-15,485.927
2002-08-16,488.532
2002-08-19,496.555
2002-08-20,490.484
2002-08-21,496.856
2002-08-22,502.922
2002-08-23,494.075
2002-08-26,495.506
2002-08-27,491.316
2002-08-28,480.491
2002-08-29,479.082
2002-08-30,478.152
2002-09-02,475.95
2002-09-03,460.065
2002-09-04,465.212
2002-09-05,459.984
2002-09-06,467.795
2002-09-09,469.534
2002-09-10,474.211
2002-09-11,476.625
2002-09-12,465.694
2002-09-13,463.96
2002-09-16,462.379
2002-09-17,456.745
2002-09-18,452.509
2002-09-19,443.098
2002-09-20,442.212
2002-09-23,433.391
2002-09-24,427.972
2002-09-25,436.948
2002-09-26,445.571
2002-09-27,438.415
2002-09-30,430.635
2002-10-01,439.971
2002-10-02,437.396
2002-10-03,433.145
2002-10-04,424.891
2002-10-07,416.551
2002-10-08,419.775
2002-10-09,412.892
2002-10-10,422.331
2002-10-11,438.322
2002-10-14,440.211
2002-10-15,460.378
2002-10-16,450.228
2002-10-17,460.268
2002-10-18,462.102
2002-10-21,466.443
2002-10-22,461.445
2002-10-23,461.005
2002-10-24,458.485
2002-10-25,464.941
2002-10-28,464.101
2002-10-29,457.584
2002-10-30,462.836
2002-10-31,463.849
2002-11-01,467.989
2002-11-04,475.353
2002-11-05,478.934
2002-11-06,480.831
2002-11-07,473.673
2002-11-08,468.607
2002-11-11,459.847
2002-11-12,465.282
2002-11-13,464.839
2002-11-14,474.22
2002-11-15,477.107
2002-11-18,474.156
2002-11-19,471.143
2002-11-20,476.751
2002-11-21,487.566
2002-11-22,487.039
2002-11-25,486.757
2002-11-26,477.78
2002-11-27,488.556
2002-11-28,491.041
2002-11-29,489.236
2002-12-02,488.8
2002-12-03,481.575
2002-12-04,479.464
2002-12-05,473.988
2002-12-06,475.788
2002-12-09,465.873
2002-12-10,470.559
2002-12-11,471.524
2002-12-12,470.261
2002-12-13,464.416
2002-12-16,472.082
2002-12-17,469.344
2002-12-18,461.562
2002-12-19,459.382
2002-12-20,463.503
2002-12-23,465.445
2002-12-24,465.042
2002-12-25,464.94
2002-12-26,464.37
2002-12-27,457.596
2002-12-30,459.997
2002-12-31,461.62
2003-01-01,461.618
2003-01-02,472.311
2003-01-03,474.044
2003-01-06,481.144
2003-01-07,478.121
2003-01-08,471.196
2003-01-09,479.047
2003-01-10,480.492
2003-01-13,480.448
2003-01-14,483.984
2003-01-15,478.444
2003-01-16,476.709
2003-01-17,469.76
2003-01-20,467.829
2003-01-21,463.886
2003-01-22,459.865
2003-01-23,464.577
2003-01-24,455.529
2003-01-27,445.976
2003-01-28,448.872
2003-01-29,451.26
2003-01-30,446.231
2003-01-31,448.192
2003-02-03,450.932
2003-02-04,445.562
2003-02-05,445.877
2003-02-06,441.715
2003-02-07,437.419
2003-02-10,438.091
2003-02-11,438.689
2003-02-12,434.311
2003-02-13,433.438
2003-02-14,440.317
2003-02-17,442.247
2003-02-18,449.006
2003-02-19,445.173
2003-02-20,443.629
2003-02-21,447.358
2003-02-24,441.681
2003-02-25,439.053
2003-02-26,435.954
2003-02-27,438.478
2003-02-28,442.215
2003-03-03,441.39
2003-03-04,435.572
2003-03-05,437.034
2003-03-06,434.293
2003-03-07,434.066
2003-03-10,425.052
2003-03-11,422.18
2003-03-12,421.094
2003-03-13,433.882
2003-03-14,437.759
2003-03-17,450.259
2003-03-18,452.43
2003-03-19,455.244
2003-03-20,456.885
2003-03-21,465.165
2003-03-24,452.707
2003-03-25,457.293
2003-03-26,456.43
2003-03-27,455.029
2003-03-28,453.078
2003-03-31,445.303
2003-04-01,448.71
2003-04-02,459.67
2003-04-03,459.014
2003-04-04,459.741
2003-04-07,463.794
2003-04-08,461.464
2003-04-09,457.462
2003-04-10,457.94
2003-04-11,456.477
2003-04-14,462.894
2003-04-15,467.014
2003-04-16,464.074
2003-04-17,470.778
2003-04-18,470.871
2003-04-21,469.833
2003-04-22,476.758
2003-04-23,479.536
2003-04-24,476.715
2003-04-25,470.828
2003-04-28,477.748
2003-04-29,479.122
2003-04-30,481.55
2003-05-01,483.312
2003-05-02,488.212
2003-05-05,490.339
2003-05-06,496.605
2003-05-07,493.963
2003-05-08,488.791
2003-05-09,495.207
2003-05-12,500.644
2003-05-13,499.815
2003-05-14,499.149
2003-05-15,502.164
2003-05-16,502.532
2003-05-19,491.515
2003-05-20,490.996
2003-05-21,490.474
2003-05-22,495.356
2003-05-23,495.965
2003-05-26,496.384
2003-05-27,503.176
2003-05-28,505.194
2003-05-29,507.196
2003-05-30,510.255
2003-06-02,513.754
2003-06-03,514.158
2003-06-04,520.315
2003-06-05,524.227
2003-06-06,524.221
2003-06-09,519.951
2003-06-10,522.381
2003-06-11,529.486
2003-06-12,530.295
2003-06-13,526.297
2003-06-16,536.014
2003-06-17,539.07
2003-06-18,538.76
2003-06-19,531.872
2003-06-20,531.515
2003-06-23,522.888
2003-06-24,520.795
2003-06-25,520.637
2003-06-26,522.404
2003-06-27,520.537
2003-06-30,518.817
2003-07-01,521.197
2003-07-02,529.277
2003-07-03,528.655
2003-07-04,527.427
2003-07-07,536.58
2003-07-08,538.463
2003-07-09,536.892
2003-07-10,531.425
2003-07-11,533.86
2003-07-14,539.08
2003-07-15,536.784
2003-07-16,533.884
2003-07-17,524.85
2003-07-18,527.762
2003-07-21,523.76
2003-07-22,527.107
2003-07-23,531.07
2003-07-24,531.426
2003-07-25,536.33
2003-07-28,537.658
2003-07-29,535.506
2003-07-30,532.61
2003-07-31,532.809
2003-08-01,529.007
2003-08-04,528.613
2003-08-05,523.078
2003-08-06,520.247
2003-08-07,523.218
2003-08-08,524.287
2003-08-11,527.592
2003-08-12,532.055
2003-08-13,531.923
2003-08-14,535.098
2003-08-15,535.594
2003-08-18,540.051
2003-08-19,541.855
2003-08-20,542.436
2003-08-21,543.823
2003-08-22,540.723
2003-08-25,539.915
2003-08-26,539.891
2003-08-27,541.697
2003-08-28,544.89
2003-08-29,547.881
2003-09-01,551.11
2003-09-02,554.616
2003-09-03,558.158
2003-09-04,559.733
2003-09-05,558.896
2003-09-08,564.787
2003-09-09,562.825
2003-09-10,555.923
2003-09-11,557.311
2003-09-12,559.478
2003-09-15,558.682
2003-09-16,565.559
2003-09-17,566.492
2003-09-18,572.44
2003-09-19,571.968
2003-09-22,565.563
2003-09-23,568.721
2003-09-24,561.029
2003-09-25,556.529
2003-09-26,551.889
2003-09-29,555.742
2003-09-30,551.023
2003-10-01,561.769
2003-10-02,564.978
2003-10-03,572.434
2003-10-06,573.792
2003-10-07,577.37
2003-10-08,574.861
2003-10-09,578.927
2003-10-10,580.803
2003-10-13,584.207
2003-10-14,586.136
2003-10-15,585.241
2003-10-16,588.37
2003-10-17,583.043
2003-10-20,585.668
2003-10-21,588.414
2003-10-22,581.026
2003-10-23,576.164
2003-10-24,575.19
2003-10-27,578.367
2003-10-28,586.056
2003-10-29,588.181
2003-10-30,588.224
2003-10-31,586.811
2003-11-03,589.719
2003-11-04,589.727
2003-11-05,588.248
2003-11-06,588.989
