Date,CANADA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,323.156
2001-01-02,317.291
2001-01-03,319.464
2001-01-04,317.693
2001-01-05,315.474
2001-01-08,316.541
2001-01-09,314.112
2001-01-10,315.189
2001-01-11,317.235
2001-01-12,314.019
2001-01-15,314.985
2001-01-16,316.321
2001-01-17,312.995
2001-01-18,308.366
2001-01-19,310.075
2001-01-22,313.501
2001-01-23,316.79
2001-01-24,316.297
2001-01-25,318.559
2001-01-26,317.938
2001-01-29,320.113
2001-01-30,322.443
2001-01-31,322.512
2001-02-01,325.133
2001-02-02,328.684
2001-02-05,329.611
2001-02-06,328.354
2001-02-07,326.648
2001-02-08,325.52
2001-02-09,325.688
2001-02-12,324.278
2001-02-13,323.573
2001-02-14,321.538
2001-02-15,321.098
2001-02-16,319.792
2001-02-19,319.618
2001-02-20,315.885
2001-02-21,308.54
2001-02-22,310.05
2001-02-23,307.056
2001-02-26,313.615
2001-02-27,314.143
2001-02-28,313.621
2001-03-01,312.99
2001-03-02,310.792
2001-03-05,316.223
2001-03-06,317.059
2001-03-07,317.854
2001-03-08,318.039
2001-03-09,314.892
2001-03-12,309.418
2001-03-13,312.439
2001-03-14,307.894
2001-03-15,306.352
2001-03-16,300.016
2001-03-19,304.957
2001-03-20,302.511
2001-03-21,296.567
2001-03-22,291.715
2001-03-23,293.571
2001-03-26,299.399
2001-03-27,300.016
2001-03-28,295.917
2001-03-29,293.743
2001-03-30,298.461
2001-04-02,300.452
2001-04-03,295.549
2001-04-04,296.889
2001-04-05,298.528
2001-04-06,298.294
2001-04-09,301.996
2001-04-10,308.47
2001-04-11,305.359
2001-04-12,304.435
2001-04-13,304.44
2001-04-16,304.678
2001-04-17,306.615
2001-04-18,309.526
2001-04-19,312.56
2001-04-20,313.801
2001-04-23,310.882
2001-04-24,308.639
2001-04-25,311.664
2001-04-26,314.196
2001-04-27,315.113
2001-04-30,312.79
2001-05-01,313.561
2001-05-02,313.851
2001-05-03,312.281
2001-05-04,313.306
2001-05-07,313.556
2001-05-08,312.929
2001-05-09,316.293
2001-05-10,320.695
2001-05-11,316.988
2001-05-14,317.451
2001-05-15,320.078
2001-05-16,324.925
2001-05-17,328.426
2001-05-18,329.962
2001-05-21,330.399
2001-05-22,328.445
2001-05-23,327.411
2001-05-24,327.715
2001-05-25,326.46
2001-05-28,326.86
2001-05-29,327.424
2001-05-30,324.695
2001-05-31,326.253
2001-06-01,332.666
2001-06-04,334.849
2001-06-05,332.739
2001-06-06,332.534
2001-06-07,333.09
2001-06-08,332.13
2001-06-11,332.074
2001-06-12,330.412
2001-06-13,329.55
2001-06-14,325.675
2001-06-15,320.386
2001-06-18,314.714
2001-06-19,314.205
2001-06-20,313.484
2001-06-21,315.925
2001-06-22,317.109
2001-06-25,317.514
2001-06-26,314.206
2001-06-27,311.899
2001-06-28,312.966
2001-06-29,318.868
2001-07-02,319.357
2001-07-03,321.91
2001-07-04,320.604
2001-07-05,319.239
2001-07-06,315.083
2001-07-09,316.787
2001-07-10,314.702
2001-07-11,313.293
2001-07-12,316.756
2001-07-13,318.396
2001-07-16,312.423
2001-07-17,314.685
2001-07-18,314.481
2001-07-19,313.822
2001-07-20,313.027
2001-07-23,311.442
2001-07-24,311.072
2001-07-25,312.209
2001-07-26,311.474
2001-07-27,314.457
2001-07-30,313.726
2001-07-31,315.488
2001-08-01,315.801
2001-08-02,315.58
2001-08-03,316.178
2001-08-06,317.887
2001-08-07,318.958
2001-08-08,316.041
2001-08-09,317.302
2001-08-10,314.526
2001-08-13,315.097
2001-08-14,314.91
2001-08-15,313.878
2001-08-16,316.199
2001-08-17,312.317
2001-08-20,313.121
2001-08-21,311.18
2001-08-22,313.378
2001-08-23,313.827
2001-08-24,317.955
2001-08-27,319.264
2001-08-28,316.916
2001-08-29,312.205
2001-08-30,309.452
2001-08-31,307.579
2001-09-03,307.298
2001-09-04,309.763
2001-09-05,308.559
2001-09-06,308.006
2001-09-07,303.6
2001-09-10,303.002
2001-09-11,290.665
2001-09-12,293.101
2001-09-13,296.284
2001-09-14,286.483
2001-09-17,287.849
2001-09-18,285.604
2001-09-19,279.561
2001-09-20,272.597
2001-09-21,270.777
2001-09-24,277.304
2001-09-25,278.258
2001-09-26,277.47
2001-09-27,276.789
2001-09-28,282.054
2001-10-01,282.078
2001-10-02,284.905
2001-10-03,286.78
2001-10-04,284.789
2001-10-05,285.309
2001-10-08,285.701
2001-10-09,283.655
2001-10-10,285.049
2001-10-11,288.878
2001-10-12,287.344
2001-10-15,286.649
2001-10-16,288.335
2001-10-17,284.945
2001-10-18,280.964
2001-10-19,281.267
2001-10-22,279.881
2001-10-23,281.367
2001-10-24,280.499
2001-10-25,280.848
2001-10-26,283.066
2001-10-29,278.491
2001-10-30,276.184
2001-10-31,276.553
2001-11-01,279.245
2001-11-02,281.381
2001-11-05,283.843
2001-11-06,286.85
2001-11-07,286.785
2001-11-08,285.169
2001-11-09,287.079
2001-11-12,288.023
2001-11-13,293.486
2001-11-14,295.355
2001-11-15,294.613
2001-11-16,295.682
2001-11-19,299.669
2001-11-20,296.506
2001-11-21,292.853
2001-11-22,294.265
2001-11-23,296.859
2001-11-26,297.228
2001-11-27,298.208
2001-11-28,295.93
2001-11-29,298.42
2001-11-30,299.751
2001-12-03,296.811
2001-12-04,298.871
2001-12-05,305.461
2001-12-06,303.661
2001-12-07,305.087
2001-12-10,302.507
2001-12-11,300.967
2001-12-12,305.9
2001-12-13,303.608
2001-12-14,302.777
2001-12-17,307.975
2001-12-18,308.366
2001-12-19,305.195
2001-12-20,303.15
2001-12-21,302.848
2001-12-24,300.739
2001-12-25,300.774
2001-12-26,300.693
2001-12-27,304.762
2001-12-28,305.446
2001-12-31,305.569
2002-01-01,305.556
2002-01-02,303.726
2002-01-03,308.16
2002-01-04,310.223
2002-01-07,312.165
2002-01-08,308.482
2002-01-09,308.525
2002-01-10,306.513
2002-01-11,306.808
2002-01-14,303.908
2002-01-15,305.632
2002-01-16,303.706
2002-01-17,301.81
2002-01-18,299.881
2002-01-21,299.464
2002-01-22,301.458
2002-01-23,303.215
2002-01-24,305.248
2002-01-25,304.144
2002-01-28,303.516
2002-01-29,305.846
2002-01-30,304.559
2002-01-31,308.89
2002-02-01,309.44
2002-02-04,305.441
2002-02-05,302.182
2002-02-06,298.715
2002-02-07,299.294
2002-02-08,301.927
2002-02-11,305.654
2002-02-12,303.47
2002-02-13,304.015
2002-02-14,303.749
2002-02-15,302.768
2002-02-18,304.621
2002-02-19,302.79
2002-02-20,301.69
2002-02-21,300.852
2002-02-22,301.146
2002-02-25,303.811
2002-02-26,304.304
2002-02-27,306.741
2002-02-28,309.132
2002-03-01,313.833
2002-03-04,320.536
2002-03-05,318.409
2002-03-06,323.235
2002-03-07,324.168
2002-03-08,320.431
2002-03-11,320.082
2002-03-12,318.973
2002-03-13,318.921
2002-03-14,317.215
2002-03-15,320.598
2002-03-18,321.685
2002-03-19,324.278
2002-03-20,323.213
2002-03-21,320.08
2002-03-22,321.268
2002-03-25,316.607
2002-03-26,315.684
2002-03-27,318.282
2002-03-28,318.21
2002-03-29,318.172
2002-04-01,318.007
2002-04-02,319.053
2002-04-03,318.514
2002-04-04,316.203
2002-04-05,318.28
2002-04-08,316.075
2002-04-09,316.169
2002-04-10,320.671
2002-04-11,317.509
2002-04-12,319.466
2002-04-15,319.931
2002-04-16,323.984
2002-04-17,325.945
2002-04-18,324.338
2002-04-19,328.103
2002-04-22,324.838
2002-04-23,320.51
2002-04-24,322.02
2002-04-25,321.772
2002-04-26,320.666
2002-04-29,318.958
2002-04-30,321.498
2002-05-01,323.532
2002-05-02,323.846
2002-05-03,321.642
2002-05-06,317.936
2002-05-07,317.308
2002-05-08,321.781
2002-05-09,319.846
2002-05-10,321.223
2002-05-13,323.45
2002-05-14,325.835
2002-05-15,326.15
2002-05-16,327.486
2002-05-17,328.593
2002-05-20,328.976
2002-05-21,329.072
2002-05-22,327.38
2002-05-23,330.964
2002-05-24,330.038
2002-05-27,329.654
2002-05-28,331.248
2002-05-29,328.59
2002-05-30,328.131
2002-05-31,333.806
2002-06-03,330.825
2002-06-04,329.95
2002-06-05,327.558
2002-06-06,327.03
2002-06-07,326.165
2002-06-10,325.485
2002-06-11,321.676
2002-06-12,320.542
2002-06-13,316.647
2002-06-14,311.51
2002-06-17,315.935
2002-06-18,315.317
2002-06-19,313.449
2002-06-20,313.751
2002-06-21,310.798
2002-06-24,311.387
2002-06-25,310.677
2002-06-26,307.158
2002-06-27,312.614
2002-06-28,313.775
2002-07-01,314.298
2002-07-02,307.742
2002-07-03,307.082
2002-07-04,307.09
2002-07-05,311.816
2002-07-08,312.477
2002-07-09,311.02
2002-07-10,304.603
2002-07-11,301.672
2002-07-12,297.997
2002-07-15,291.541
2002-07-16,292.784
2002-07-17,292.472
2002-07-18,292.174
2002-07-19,284.738
2002-07-22,274.663
2002-07-23,262.631
2002-07-24,270.807
2002-07-25,268.044
2002-07-26,268.43
2002-07-29,277.231
2002-07-30,277.789
2002-07-31,280.245
2002-08-01,278.256
2002-08-02,276.866
2002-08-05,275.863
2002-08-06,276.013
2002-08-07,277.455
2002-08-08,281.58
2002-08-09,285.385
2002-08-12,281.748
2002-08-13,282.228
2002-08-14,284.667
2002-08-15,284.444
2002-08-16,283.635
2002-08-19,286.464
2002-08-20,285.757
2002-08-21,288.794
2002-08-22,291.504
2002-08-23,287.849
2002-08-26,290.872
2002-08-27,288.999
2002-08-28,286.593
2002-08-29,286.621
2002-08-30,288.337
2002-09-02,289.181
2002-09-03,282.857
2002-09-04,283.775
2002-09-05,282.158
2002-09-06,281.396
2002-09-09,283.576
2002-09-10,282.855
2002-09-11,285.083
2002-09-12,279.699
2002-09-13,278.55
2002-09-16,279.981
2002-09-17,276.126
2002-09-18,271.084
2002-09-19,267.826
2002-09-20,268.432
2002-09-23,260.693
2002-09-24,260.12
2002-09-25,264.687
2002-09-26,267.436
2002-09-27,263.811
2002-09-30,266.14
2002-10-01,268.159
2002-10-02,262.961
2002-10-03,257.752
2002-10-04,254.345
2002-10-07,251.153
2002-10-08,254.613
2002-10-09,248.004
2002-10-10,253.831
2002-10-11,261.047
2002-10-14,261.556
2002-10-15,272.433
2002-10-16,270.362
2002-10-17,278.35
2002-10-18,281.446
2002-10-21,284.208
2002-10-22,279.74
2002-10-23,282.326
2002-10-24,284.137
2002-10-25,285.838
2002-10-28,287.2
2002-10-29,280.856
2002-10-30,280.645
2002-10-31,275.534
2002-11-01,280.284
2002-11-04,286.058
2002-11-05,283.817
2002-11-06,284.61
2002-11-07,283.93
2002-11-08,281.42
2002-11-11,277.108
2002-11-12,277.29
2002-11-13,275.647
2002-11-14,279.58
2002-11-15,282.386
2002-11-18,282.337
2002-11-19,281.722
2002-11-20,284.667
2002-11-21,289.007
2002-11-22,289.673
2002-11-25,292.298
2002-11-26,288.011
2002-11-27,292.362
2002-11-28,294.688
2002-11-29,293.746
2002-12-02,297.857
2002-12-03,296.362
2002-12-04,295.51
2002-12-05,292.027
2002-12-06,292.713
2002-12-09,292.035
2002-12-10,296.386
2002-12-11,297.203
2002-12-12,300.2
2002-12-13,300.566
2002-12-16,303.336
2002-12-17,300.807
2002-12-18,298.463
2002-12-19,298.279
2002-12-20,297.811
2002-12-23,302.157
2002-12-24,301.542
2002-12-25,301.542
2002-12-26,300.853
2002-12-27,296.923
2002-12-30,296.385
2002-12-31,295.664
2003-01-01,295.664
2003-01-02,302.901
2003-01-03,305.801
2003-01-06,310.402
2003-01-07,309.089
2003-01-08,304.416
2003-01-09,307.595
2003-01-10,311.378
2003-01-13,313.973
2003-01-14,315.07
2003-01-15,314.944
2003-01-16,316.105
2003-01-17,313.058
2003-01-20,311.83
2003-01-21,309.588
2003-01-22,310.531
2003-01-23,312.151
2003-01-24,308.715
2003-01-27,303.467
2003-01-28,302.037
2003-01-29,303.649
2003-01-30,301.528
2003-01-31,302.031
2003-02-03,305.557
2003-02-04,303.672
2003-02-05,301.789
2003-02-06,299.625
2003-02-07,297.994
2003-02-10,294.693
2003-02-11,296.081
2003-02-12,296.219
2003-02-13,298.07
2003-02-14,300.081
2003-02-17,304.078
2003-02-18,306.391
2003-02-19,305.473
2003-02-20,307.522
2003-02-21,307.28
2003-02-24,305.591
2003-02-25,306.974
2003-02-26,306.639
2003-02-27,311.675
2003-02-28,311.234
2003-03-03,308.015
2003-03-04,306.326
2003-03-05,305.59
2003-03-06,301.849
2003-03-07,306.227
2003-03-10,301.686
2003-03-11,300.625
2003-03-12,296.818
2003-03-13,299.485
2003-03-14,300.189
2003-03-17,306.833
2003-03-18,307.72
2003-03-19,308.834
2003-03-20,310.544
2003-03-21,311.911
2003-03-24,305.912
2003-03-25,307.1
2003-03-26,306.347
2003-03-27,306.685
2003-03-28,307.601
2003-03-31,304.884
2003-04-01,304.832
2003-04-02,307.045
2003-04-03,307.47
2003-04-04,307.859
2003-04-07,308.743
2003-04-08,311.681
2003-04-09,311.772
2003-04-10,314.676
2003-04-11,315.769
2003-04-14,317.695
2003-04-15,318.5
2003-04-16,318.17
2003-04-17,319.904
2003-04-18,319.904
2003-04-21,320.699
2003-04-22,322.746
2003-04-23,322.83
2003-04-24,319.791
2003-04-25,319.094
2003-04-28,322.009
2003-04-29,323.033
2003-04-30,328.187
2003-05-01,330.588
2003-05-02,331.139
2003-05-05,336.092
2003-05-06,338.991
2003-05-07,337.635
2003-05-08,338.228
2003-05-09,340.249
2003-05-12,344.675
2003-05-13,343.194
2003-05-14,348.486
2003-05-15,350.561
2003-05-16,352.335
2003-05-19,354.2
2003-05-20,356.822
2003-05-21,356.408
2003-05-22,352.863
2003-05-23,349.285
2003-05-26,350.63
2003-05-27,352.88
2003-05-28,349.331
2003-05-29,352.565
2003-05-30,352.054
2003-06-02,357.09
2003-06-03,354.758
2003-06-04,363.621
2003-06-05,369.763
2003-06-06,367.255
2003-06-09,363.314
2003-06-10,365.237
2003-06-11,371.646
2003-06-12,373.364
2003-06-13,372.094
2003-06-16,378.454
2003-06-17,379.045
2003-06-18,379.383
2003-06-19,373.369
2003-06-20,372.693
2003-06-23,368.538
2003-06-24,366.572
2003-06-25,369.818
2003-06-26,369.103
2003-06-27,369.039
2003-06-30,367.343
2003-07-01,369.957
2003-07-02,371.885
2003-07-03,373.897
2003-07-04,372.937
2003-07-07,375.269
2003-07-08,373.671
2003-07-09,369.594
2003-07-10,366.195
2003-07-11,367.859
2003-07-14,371.467
2003-07-15,367.053
2003-07-16,368.245
2003-07-17,366.345
2003-07-18,364.123
2003-07-21,365.684
2003-07-22,366.714
2003-07-23,369.688
2003-07-24,374.049
2003-07-25,378.889
2003-07-28,379.084
2003-07-29,376.101
2003-07-30,371.638
2003-07-31,370.928
2003-08-01,371.878
2003-08-04,369.636
2003-08-05,367.367
2003-08-06,363.822
2003-08-07,368.373
2003-08-08,371.835
2003-08-11,378.705
2003-08-12,381.451
2003-08-13,383.032
2003-08-14,381.924
2003-08-15,381.85
2003-08-18,382.77
2003-08-19,382.201
2003-08-20,382.11
2003-08-21,381.613
2003-08-22,378.732
2003-08-25,380.763
2003-08-26,383.863
2003-08-27,383.974
2003-08-28,386.448
2003-08-29,388.466
2003-09-01,390.054
2003-09-02,392.032
2003-09-03,392.294
2003-09-04,395.676
2003-09-05,395.577
2003-09-08,394.559
2003-09-09,395.131
2003-09-10,395.58
2003-09-11,394.565
2003-09-12,397.193
2003-09-15,395.756
2003-09-16,398.044
2003-09-17,397.321
2003-09-18,399.0
2003-09-19,403.768
2003-09-22,402.252
2003-09-23,403.412
2003-09-24,401.672
2003-09-25,401.117
2003-09-26,396.123
2003-09-29,395.539
2003-09-30,396.572
2003-10-01,403.307
2003-10-02,405.93
2003-10-03,405.313
2003-10-06,407.48
2003-10-07,412.363
2003-10-08,413.244
2003-10-09,415.166
2003-10-10,420.196
2003-10-13,420.779
2003-10-14,427.182
2003-10-15,430.043
2003-10-16,433.451
2003-10-17,430.037
2003-10-20,429.228
2003-10-21,431.939
2003-10-22,432.48
2003-10-23,428.543
2003-10-24,426.392
2003-10-27,427.939
2003-10-28,430.354
2003-10-29,431.728
2003-10-30,432.649
2003-10-31,431.089
2003-11-03,431.395
2003-11-04,432.349
2003-11-05,434.259
2003-11-06,431.806
2003-11-07,434.141
2003-11-10,434.677
2003-11-11,431.844
2003-11-12,436.547
2003-11-13,435.37
2003-11-14,434.233
2003-11-17,433.824
2003-11-18,432.298
2003-11-19,436.602
2003-11-20,437.751
2003-11-21,437.805
2003-11-24,436.099
2003-11-25,435.146
2003-11-26,439.197
2003-11-27,438.692
2003-11-28,438.81
2003-12-01,439.799
2003-12-02,442.206
2003-12-03,442.858
2003-12-04,439.564
2003-12-05,441.807
2003-12-08,443.642
2003-12-09,440.09
2003-12-10,438.899
2003-12-11,433.752
2003-12-12,437.923
2003-12-15,436.37
2003-12-16,439.965
2003-12-17,439.656
2003-12-18,440.859
2003-12-19,438.741
2003-12-22,442.241
2003-12-23,444.372
2003-12-24,448.007
2003-12-25,448.007
2003-12-26,450.96
2003-12-29,453.072
2003-12-30,453.127
2003-12-31,459.066
2004-01-01,459.066
2004-01-02,463.014
2004-01-05,468.241
2004-01-06,468.346
2004-01-07,464.672
2004-01-08,464.614
2004-01-09,466.39
2004-01-12,465.967
2004-01-13,469.495
2004-01-14,464.949
2004-01-15,465.799
2004-01-16,468.594
2004-01-19,469.086
2004-01-20,476.133
2004-01-21,471.755
2004-01-22,474.434
2004-01-23,470.311
2004-01-26,468.561
2004-01-27,471.116
2004-01-28,462.602
2004-01-29,456.425
2004-01-30,457.708
2004-02-02,460.102
2004-02-03,460.898
2004-02-04,457.055
2004-02-05,456.895
2004-02-06,461.816
2004-02-09,464.952
2004-02-10,464.489
2004-02-11,464.285
2004-02-12,467.114
2004-02-13,469.16
2004-02-16,471.416
2004-02-17,472.764
2004-02-18,470.358
2004-02-19,464.011
2004-02-20,456.335
2004-02-23,457.474
2004-02-24,461.011
2004-02-25,457.921
2004-02-26,461.077
2004-02-27,463.328
2004-03-01,465.526
2004-03-02,461.346
2004-03-03,461.941
2004-03-04,464.647
2004-03-05,474.167
2004-03-08,471.865
2004-03-09,471.973
2004-03-10,463.73
2004-03-11,463.391
2004-03-12,460.889
2004-03-15,458.829
2004-03-16,463.812
2004-03-17,462.896
2004-03-18,465.185
2004-03-19,467.472
2004-03-22,464.587
2004-03-23,462.198
2004-03-24,457.776
2004-03-25,466.077
2004-03-26,468.636
2004-03-29,473.55
2004-03-30,476.272
2004-03-31,472.275
2004-04-01,474.466
2004-04-02,481.676
2004-04-05,488.21
2004-04-06,490.008
2004-04-07,485.833
2004-04-08,482.926
2004-04-09,482.926
2004-04-12,483.357
