Date,SINGAPORE SMALL VALUE Small Cap
2001-01-01,170.058
2001-01-02,166.44
2001-01-03,165.035
2001-01-04,168.839
2001-01-05,170.194
2001-01-08,170.439
2001-01-09,168.445
2001-01-10,167.587
2001-01-11,164.889
2001-01-12,165.764
2001-01-15,164.443
2001-01-16,164.104
2001-01-17,164.568
2001-01-18,164.433
2001-01-19,165.798
2001-01-22,165.331
2001-01-23,165.767
2001-01-24,165.767
2001-01-25,165.913
2001-01-26,167.243
2001-01-29,167.386
2001-01-30,167.545
2001-01-31,171.415
2001-02-01,172.032
2001-02-02,175.039
2001-02-05,174.722
2001-02-06,175.239
2001-02-07,175.088
2001-02-08,177.583
2001-02-09,176.336
2001-02-12,178.136
2001-02-13,178.597
2001-02-14,176.83
2001-02-15,177.121
2001-02-16,177.545
2001-02-19,176.977
2001-02-20,178.264
2001-02-21,179.106
2001-02-22,178.797
2001-02-23,177.613
2001-02-26,177.192
2001-02-27,176.142
2001-02-28,177.387
2001-03-01,176.32
2001-03-02,176.928
2001-03-05,175.98
2001-03-06,176.122
2001-03-07,176.424
2001-03-08,176.282
2001-03-09,176.78
2001-03-12,174.057
2001-03-13,173.127
2001-03-14,171.369
2001-03-15,170.483
2001-03-16,169.652
2001-03-19,168.453
2001-03-20,168.562
2001-03-21,167.348
2001-03-22,165.39
2001-03-23,167.473
2001-03-26,166.884
2001-03-27,165.356
2001-03-28,163.673
2001-03-29,159.219
2001-03-30,160.57
2001-04-02,157.761
2001-04-03,158.083
2001-04-04,157.007
2001-04-05,158.694
2001-04-06,158.842
2001-04-09,155.53
2001-04-10,157.134
2001-04-11,158.974
2001-04-12,158.07
2001-04-13,158.051
2001-04-16,157.398
2001-04-17,156.152
2001-04-18,159.117
2001-04-19,159.736
2001-04-20,159.153
2001-04-23,160.13
2001-04-24,160.76
2001-04-25,160.765
2001-04-26,163.04
2001-04-27,163.066
2001-04-30,164.859
2001-05-01,165.565
2001-05-02,168.143
2001-05-03,166.073
2001-05-04,165.162
2001-05-07,164.95
2001-05-08,165.011
2001-05-09,164.844
2001-05-10,167.203
2001-05-11,168.267
2001-05-14,167.1
2001-05-15,168.177
2001-05-16,165.296
2001-05-17,166.928
2001-05-18,166.431
2001-05-21,167.453
2001-05-22,169.659
2001-05-23,170.608
2001-05-24,171.795
2001-05-25,170.851
2001-05-28,169.416
2001-05-29,169.043
2001-05-30,167.979
2001-05-31,168.97
2001-06-01,169.009
2001-06-04,170.045
2001-06-05,170.722
2001-06-06,171.843
2001-06-07,172.451
2001-06-08,172.348
2001-06-11,170.953
2001-06-12,169.936
2001-06-13,172.184
2001-06-14,172.532
2001-06-15,173.669
2001-06-18,174.522
2001-06-19,173.55
2001-06-20,172.818
2001-06-21,174.46
2001-06-22,177.608
2001-06-25,181.407
2001-06-26,181.058
2001-06-27,180.771
2001-06-28,178.957
2001-06-29,181.144
2001-07-02,178.327
2001-07-03,176.948
2001-07-04,175.218
2001-07-05,174.908
2001-07-06,172.493
2001-07-09,170.693
2001-07-10,171.457
2001-07-11,169.874
2001-07-12,171.732
2001-07-13,170.989
2001-07-16,171.936
2001-07-17,170.657
2001-07-18,169.088
2001-07-19,169.847
2001-07-20,171.044
2001-07-23,170.652
2001-07-24,172.188
2001-07-25,172.149
2001-07-26,173.778
2001-07-27,174.484
2001-07-30,173.106
2001-07-31,173.526
2001-08-01,173.261
2001-08-02,176.248
2001-08-03,176.008
2001-08-06,175.826
2001-08-07,176.036
2001-08-08,175.82
2001-08-09,175.829
2001-08-10,176.866
2001-08-13,176.064
2001-08-14,176.82
2001-08-15,178.438
2001-08-16,176.654
2001-08-17,175.97
2001-08-20,174.599
2001-08-21,182.337
2001-08-22,182.531
2001-08-23,183.022
2001-08-24,182.804
2001-08-27,183.783
2001-08-28,182.491
2001-08-29,182.334
2001-08-30,173.038
2001-08-31,173.623
2001-09-03,173.223
2001-09-04,173.113
2001-09-05,172.322
2001-09-06,172.774
2001-09-07,170.863
2001-09-10,170.552
2001-09-11,169.335
2001-09-12,162.654
2001-09-13,163.188
2001-09-14,157.402
2001-09-17,148.723
2001-09-18,149.194
2001-09-19,152.59
2001-09-20,151.719
2001-09-21,146.025
2001-09-24,146.081
2001-09-25,145.582
2001-09-26,157.375
2001-09-27,161.18
2001-09-28,163.214
2001-10-01,162.712
2001-10-02,161.904
2001-10-03,162.616
2001-10-04,164.491
2001-10-05,164.424
2001-10-08,160.514
2001-10-09,166.12
2001-10-10,163.213
2001-10-11,165.131
2001-10-12,165.248
2001-10-15,164.232
2001-10-16,164.83
2001-10-17,168.21
2001-10-18,165.832
2001-10-19,164.75
2001-10-22,164.276
2001-10-23,165.841
2001-10-24,166.456
2001-10-25,167.279
2001-10-26,166.851
2001-10-29,165.777
2001-10-30,165.93
2001-10-31,165.303
2001-11-01,163.321
2001-11-02,163.159
2001-11-05,164.409
2001-11-06,164.822
2001-11-07,164.639
2001-11-08,164.533
2001-11-09,165.528
2001-11-12,166.045
2001-11-13,165.763
2001-11-14,165.763
2001-11-15,169.361
2001-11-16,168.432
2001-11-19,170.99
2001-11-20,171.355
2001-11-21,171.619
2001-11-22,170.555
2001-11-23,170.482
2001-11-26,170.727
2001-11-27,171.411
2001-11-28,171.76
2001-11-29,171.982
2001-11-30,172.266
2001-12-03,171.781
2001-12-04,177.398
2001-12-05,179.729
2001-12-06,179.46
2001-12-07,179.306
2001-12-10,179.364
2001-12-11,177.867
2001-12-12,177.168
2001-12-13,175.886
2001-12-14,175.365
2001-12-17,175.215
2001-12-18,175.524
2001-12-19,177.389
2001-12-20,177.441
2001-12-21,176.265
2001-12-24,176.13
2001-12-25,176.068
2001-12-26,175.061
2001-12-27,176.905
2001-12-28,177.8
2001-12-31,178.616
2002-01-01,178.616
2002-01-02,179.089
2002-01-03,182.201
2002-01-04,185.692
2002-01-07,186.622
2002-01-08,186.042
2002-01-09,184.382
2002-01-10,186.3
2002-01-11,188.59
2002-01-14,190.602
2002-01-15,189.251
2002-01-16,187.315
2002-01-17,188.081
2002-01-18,187.584
2002-01-21,187.501
2002-01-22,187.134
2002-01-23,187.216
2002-01-24,188.233
2002-01-25,194.362
2002-01-28,196.51
2002-01-29,197.005
2002-01-30,194.898
2002-01-31,197.414
2002-02-01,195.715
2002-02-04,194.609
2002-02-05,193.184
2002-02-06,193.5
2002-02-07,191.834
2002-02-08,193.479
2002-02-11,194.449
2002-02-12,194.616
2002-02-13,194.679
2002-02-14,196.912
2002-02-15,197.691
2002-02-18,197.272
2002-02-19,196.255
2002-02-20,195.851
2002-02-21,194.413
2002-02-22,191.724
2002-02-25,190.756
2002-02-26,190.038
2002-02-27,191.534
2002-02-28,193.118
2002-03-01,194.368
2002-03-04,197.082
2002-03-05,196.66
2002-03-06,197.262
2002-03-07,197.996
2002-03-08,198.273
2002-03-11,200.072
2002-03-12,197.759
2002-03-13,198.241
2002-03-14,199.105
2002-03-15,199.632
2002-03-18,201.32
2002-03-19,201.36
2002-03-20,200.392
2002-03-21,200.105
2002-03-22,200.119
2002-03-25,198.889
2002-03-26,196.455
2002-03-27,197.065
2002-03-28,196.602
2002-03-29,196.602
2002-04-01,195.154
2002-04-02,195.277
2002-04-03,194.997
2002-04-04,195.064
2002-04-05,195.531
2002-04-08,193.879
2002-04-09,193.385
2002-04-10,191.63
2002-04-11,193.465
2002-04-12,193.445
2002-04-15,194.592
2002-04-16,196.221
2002-04-17,197.123
2002-04-18,197.014
2002-04-19,196.172
2002-04-22,197.03
2002-04-23,198.472
2002-04-24,198.199
2002-04-25,198.479
2002-04-26,200.201
2002-04-29,197.682
2002-04-30,198.024
2002-05-01,198.304
2002-05-02,199.987
2002-05-03,200.198
2002-05-06,199.81
2002-05-07,199.388
2002-05-08,199.907
2002-05-09,199.047
2002-05-10,199.439
2002-05-13,200.009
2002-05-14,199.788
2002-05-15,200.775
2002-05-16,200.19
2002-05-17,202.089
2002-05-20,202.276
2002-05-21,202.82
2002-05-22,202.837
2002-05-23,201.165
2002-05-24,201.678
2002-05-27,201.692
2002-05-28,200.712
2002-05-29,200.114
2002-05-30,200.686
2002-05-31,202.835
2002-06-03,204.368
2002-06-04,204.409
2002-06-05,203.399
2002-06-06,202.311
2002-06-07,202.729
2002-06-10,201.692
2002-06-11,202.212
2002-06-12,202.026
2002-06-13,202.592
2002-06-14,201.161
2002-06-17,200.314
2002-06-18,200.083
2002-06-19,196.678
2002-06-20,198.953
2002-06-21,197.742
2002-06-24,197.338
2002-06-25,201.716
2002-06-26,198.328
2002-06-27,199.691
2002-06-28,201.516
2002-07-01,201.276
2002-07-02,200.602
2002-07-03,204.464
2002-07-04,204.174
2002-07-05,208.761
2002-07-08,208.256
2002-07-09,211.223
2002-07-10,209.786
2002-07-11,207.493
2002-07-12,207.572
2002-07-15,207.901
2002-07-16,204.987
2002-07-17,205.136
2002-07-18,205.161
2002-07-19,204.489
2002-07-22,202.143
2002-07-23,204.26
2002-07-24,199.393
2002-07-25,198.721
2002-07-26,194.878
2002-07-29,195.461
2002-07-30,197.922
2002-07-31,196.188
2002-08-01,196.817
2002-08-02,197.807
2002-08-05,195.532
2002-08-06,192.615
2002-08-07,195.849
2002-08-08,194.123
2002-08-09,194.436
2002-08-12,194.308
2002-08-13,196.437
2002-08-14,196.098
