Date,PORTUGAL LARGE VALUE Large Cap
2001-01-01,1745.803
2001-01-02,1762.524
2001-01-03,1768.218
2001-01-04,1770.094
2001-01-05,1757.532
2001-01-08,1737.337
2001-01-09,1715.592
2001-01-10,1723.697
2001-01-11,1757.279
2001-01-12,1734.379
2001-01-15,1735.509
2001-01-16,1715.201
2001-01-17,1685.079
2001-01-18,1705.095
2001-01-19,1685.806
2001-01-22,1699.776
2001-01-23,1701.937
2001-01-24,1629.759
2001-01-25,1653.111
2001-01-26,1687.779
2001-01-29,1662.676
2001-01-30,1690.866
2001-01-31,1706.48
2001-02-01,1714.176
2001-02-02,1703.299
2001-02-05,1704.287
2001-02-06,1719.508
2001-02-07,1712.166
2001-02-08,1670.278
2001-02-09,1670.21
2001-02-12,1695.764
2001-02-13,1680.403
2001-02-14,1673.005
2001-02-15,1642.825
2001-02-16,1629.854
2001-02-19,1620.597
2001-02-20,1605.241
2001-02-21,1610.352
2001-02-22,1589.728
2001-02-23,1598.304
2001-02-26,1602.943
2001-02-27,1618.802
2001-02-28,1642.595
2001-03-01,1655.428
2001-03-02,1653.55
2001-03-05,1623.652
2001-03-06,1612.101
2001-03-07,1611.924
2001-03-08,1605.218
2001-03-09,1602.365
2001-03-12,1592.106
2001-03-13,1584.359
2001-03-14,1547.828
2001-03-15,1545.706
2001-03-16,1504.989
2001-03-19,1500.303
2001-03-20,1507.741
2001-03-21,1499.86
2001-03-22,1437.69
2001-03-23,1475.765
2001-03-26,1487.626
2001-03-27,1470.989
2001-03-28,1470.748
2001-03-29,1467.987
2001-03-30,1467.397
2001-04-02,1456.05
2001-04-03,1463.979
2001-04-04,1512.453
2001-04-05,1522.672
2001-04-06,1515.466
2001-04-09,1526.269
2001-04-10,1522.002
2001-04-11,1513.046
2001-04-12,1532.0
2001-04-13,1532.0
2001-04-16,1516.31
2001-04-17,1514.096
2001-04-18,1525.475
2001-04-19,1528.838
2001-04-20,1534.445
2001-04-23,1496.363
2001-04-24,1488.966
2001-04-25,1494.463
2001-04-26,1482.884
2001-04-27,1452.823
2001-04-30,1454.456
2001-05-01,1462.166
2001-05-02,1462.134
2001-05-03,1458.354
2001-05-04,1479.983
2001-05-07,1468.553
2001-05-08,1458.778
2001-05-09,1455.139
2001-05-10,1460.38
2001-05-11,1442.832
2001-05-14,1437.603
2001-05-15,1462.456
2001-05-16,1467.039
2001-05-17,1451.841
2001-05-18,1424.179
2001-05-21,1421.256
2001-05-22,1403.575
2001-05-23,1381.611
2001-05-24,1360.541
2001-05-25,1349.919
2001-05-28,1349.239
2001-05-29,1341.077
2001-05-30,1368.362
2001-05-31,1354.979
2001-06-01,1342.458
2001-06-04,1344.337
2001-06-05,1348.903
2001-06-06,1342.855
2001-06-07,1331.818
2001-06-08,1330.529
2001-06-11,1306.794
2001-06-12,1291.598
2001-06-13,1305.823
2001-06-14,1317.018
2001-06-15,1293.247
2001-06-18,1259.625
2001-06-19,1249.338
2001-06-20,1211.44
2001-06-21,1214.135
2001-06-22,1240.118
2001-06-25,1278.151
2001-06-26,1251.293
2001-06-27,1244.895
2001-06-28,1258.528
2001-06-29,1264.43
2001-07-02,1268.01
2001-07-03,1290.864
2001-07-04,1292.36
2001-07-05,1276.095
2001-07-06,1253.455
2001-07-09,1248.608
2001-07-10,1259.06
2001-07-11,1232.592
2001-07-12,1223.027
2001-07-13,1226.188
2001-07-16,1232.598
2001-07-17,1230.684
2001-07-18,1266.275
2001-07-19,1300.44
2001-07-20,1292.114
2001-07-23,1278.058
2001-07-24,1291.527
2001-07-25,1300.305
2001-07-26,1305.617
