Date,PORTUGAL LARGE VALUE Large Cap
2001-01-01,1775.914
2001-01-02,1792.924
2001-01-03,1798.716
2001-01-04,1800.625
2001-01-05,1787.845
2001-01-08,1767.302
2001-01-09,1745.182
2001-01-10,1753.427
2001-01-11,1787.588
2001-01-12,1764.293
2001-01-15,1765.443
2001-01-16,1744.784
2001-01-17,1714.143
2001-01-18,1734.505
2001-01-19,1714.883
2001-01-22,1729.093
2001-01-23,1731.292
2001-01-24,1657.868
2001-01-25,1681.623
2001-01-26,1716.889
2001-01-29,1691.354
2001-01-30,1720.029
2001-01-31,1735.913
2001-02-01,1743.742
2001-02-02,1732.677
2001-02-05,1733.682
2001-02-06,1749.166
2001-02-07,1741.697
2001-02-08,1699.087
2001-02-09,1699.017
2001-02-12,1725.012
2001-02-13,1709.386
2001-02-14,1701.86
2001-02-15,1671.16
2001-02-16,1657.966
2001-02-19,1648.549
2001-02-20,1632.928
2001-02-21,1638.127
2001-02-22,1617.148
2001-02-23,1625.871
2001-02-26,1630.59
2001-02-27,1646.723
2001-02-28,1670.926
2001-03-01,1683.981
2001-03-02,1682.071
2001-03-05,1651.657
2001-03-06,1639.907
2001-03-07,1639.726
2001-03-08,1632.904
2001-03-09,1630.002
2001-03-12,1619.567
2001-03-13,1611.686
2001-03-14,1574.524
2001-03-15,1572.366
2001-03-16,1530.946
2001-03-19,1526.18
2001-03-20,1533.746
2001-03-21,1525.729
2001-03-22,1462.487
2001-03-23,1501.219
2001-03-26,1513.284
2001-03-27,1496.361
2001-03-28,1496.115
2001-03-29,1493.306
2001-03-30,1492.707
2001-04-02,1481.164
2001-04-03,1489.23
2001-04-04,1538.539
2001-04-05,1548.934
2001-04-06,1541.604
2001-04-09,1552.594
2001-04-10,1548.253
2001-04-11,1539.142
2001-04-12,1558.423
2001-04-13,1558.423
2001-04-16,1542.463
2001-04-17,1540.21
2001-04-18,1551.786
2001-04-19,1555.207
2001-04-20,1560.911
2001-04-23,1522.172
2001-04-24,1514.647
2001-04-25,1520.239
2001-04-26,1508.46
2001-04-27,1477.881
2001-04-30,1479.542
2001-05-01,1487.386
2001-05-02,1487.352
2001-05-03,1483.508
2001-05-04,1505.51
2001-05-07,1493.883
2001-05-08,1483.938
2001-05-09,1480.237
2001-05-10,1485.568
2001-05-11,1467.717
2001-05-14,1462.398
2001-05-15,1487.68
2001-05-16,1492.342
2001-05-17,1476.882
2001-05-18,1448.743
2001-05-21,1445.77
2001-05-22,1427.783
2001-05-23,1405.441
2001-05-24,1384.008
2001-05-25,1373.202
2001-05-28,1379.955
2001-05-29,1371.608
2001-05-30,1399.513
2001-05-31,1385.826
2001-06-01,1373.02
2001-06-04,1374.942
2001-06-05,1379.612
2001-06-06,1373.426
2001-06-07,1362.138
2001-06-08,1360.82
2001-06-11,1336.544
2001-06-12,1321.002
2001-06-13,1335.551
2001-06-14,1347.001
2001-06-15,1322.689
2001-06-18,1288.302
2001-06-19,1277.78
2001-06-20,1239.02
2001-06-21,1241.776
2001-06-22,1268.35
2001-06-25,1307.249
2001-06-26,1279.78
2001-06-27,1273.236
2001-06-28,1287.179
2001-06-29,1293.216
2001-07-02,1296.877
2001-07-03,1320.251
2001-07-04,1321.781
2001-07-05,1305.147
2001-07-06,1281.991
2001-07-09,1277.034
2001-07-10,1287.723
2001-07-11,1260.653
2001-07-12,1250.871
2001-07-13,1254.103
2001-07-16,1260.659
2001-07-17,1258.701
2001-07-18,1295.103
2001-07-19,1330.045
2001-07-20,1321.53
2001-07-23,1307.154
2001-07-24,1320.93
2001-07-25,1329.907
2001-07-26,1335.341
2001-07-27,1339.363
2001-07-30,1355.854
2001-07-31,1362.856
2001-08-01,1362.449
2001-08-02,1368.652
2001-08-03,1382.035
2001-08-06,1385.31
2001-08-07,1375.397
2001-08-08,1359.422
2001-08-09,1354.17
2001-08-10,1356.495
2001-08-13,1356.789
2001-08-14,1377.174
2001-08-15,1398.198
