Date,ISRAEL SMID CAP SMID (Small+Mid Cap)
2001-01-01,583.707
2001-01-02,554.532
2001-01-03,554.055
2001-01-04,559.286
2001-01-05,553.007
2001-01-08,533.231
2001-01-09,537.714
2001-01-10,542.913
2001-01-11,558.866
2001-01-12,561.456
2001-01-15,566.451
2001-01-16,568.604
2001-01-17,584.017
2001-01-18,583.568
2001-01-19,582.861
2001-01-22,566.817
2001-01-23,561.662
2001-01-24,564.204
2001-01-25,566.887
2001-01-26,566.849
2001-01-29,552.958
2001-01-30,551.671
2001-01-31,558.94
2001-02-01,559.448
2001-02-02,554.688
2001-02-05,559.923
2001-02-06,560.152
2001-02-07,551.704
2001-02-08,562.852
2001-02-09,562.849
2001-02-12,570.619
2001-02-13,569.28
2001-02-14,564.026
2001-02-15,560.649
2001-02-16,557.072
2001-02-19,546.762
2001-02-20,545.394
2001-02-21,540.519
2001-02-22,533.17
2001-02-23,531.652
2001-02-26,543.553
2001-02-27,543.758
2001-02-28,539.826
2001-03-01,533.46
2001-03-02,534.146
2001-03-05,525.543
2001-03-06,530.811
2001-03-07,525.636
2001-03-08,518.456
2001-03-09,515.521
2001-03-12,492.702
2001-03-13,487.183
2001-03-14,467.243
2001-03-15,464.679
2001-03-16,462.348
2001-03-19,463.554
2001-03-20,458.116
2001-03-21,448.374
2001-03-22,437.822
2001-03-23,442.016
2001-03-26,460.76
2001-03-27,451.917
2001-03-28,448.446
2001-03-29,435.074
2001-03-30,438.004
2001-04-02,433.401
2001-04-03,421.939
2001-04-04,423.139
2001-04-05,441.4
2001-04-06,439.494
2001-04-09,437.215
2001-04-10,451.698
2001-04-11,455.827
2001-04-12,456.929
2001-04-13,457.18
2001-04-16,454.33
2001-04-17,444.333
2001-04-18,463.523
2001-04-19,467.798
2001-04-20,467.765
2001-04-23,473.356
2001-04-24,474.289
2001-04-25,475.242
2001-04-26,474.64
2001-04-27,475.906
2001-04-30,497.263
2001-05-01,496.401
2001-05-02,506.977
2001-05-03,501.46
2001-05-04,500.792
2001-05-07,500.503
2001-05-08,499.464
2001-05-09,488.252
2001-05-10,491.822
2001-05-11,489.921
2001-05-14,482.377
2001-05-15,487.84
2001-05-16,486.288
2001-05-17,495.649
2001-05-18,496.269
2001-05-21,498.428
2001-05-22,505.869
2001-05-23,507.717
2001-05-24,505.978
2001-05-25,505.952
2001-05-28,505.194
2001-05-29,502.031
2001-05-30,491.118
2001-05-31,486.872
2001-06-01,486.787
2001-06-04,478.588
2001-06-05,485.078
2001-06-06,489.484
2001-06-07,487.391
2001-06-08,488.213
2001-06-11,480.118
2001-06-12,467.821
2001-06-13,475.358
2001-06-14,468.072
2001-06-15,466.962
2001-06-18,457.202
2001-06-19,458.518
2001-06-20,452.337
2001-06-21,450.521
2001-06-22,450.189
2001-06-25,455.501
2001-06-26,455.319
2001-06-27,462.763
2001-06-28,468.06
2001-06-29,468.429
2001-07-02,477.594
2001-07-03,472.726
2001-07-04,472.542
2001-07-05,468.625
2001-07-06,467.286
2001-07-09,461.154
2001-07-10,466.61
2001-07-11,461.043
2001-07-12,469.736
2001-07-13,470.707
2001-07-16,472.751
2001-07-17,470.79
2001-07-18,465.371
2001-07-19,471.499
2001-07-20,471.046
2001-07-23,474.119
2001-07-24,470.345
2001-07-25,470.623
2001-07-26,476.63
2001-07-27,476.227
2001-07-30,476.584
2001-07-31,472.582
2001-08-01,476.96
2001-08-02,482.389
2001-08-03,483.518
2001-08-06,482.02
2001-08-07,479.519
2001-08-08,481.912
2001-08-09,474.822
