Date,HONG KONG SMID CAP SMID (Small+Mid Cap)
2001-01-01,317.583
2001-01-02,314.8
2001-01-03,309.589
2001-01-04,323.647
2001-01-05,329.835
2001-01-08,331.726
2001-01-09,327.369
2001-01-10,324.479
2001-01-11,318.358
2001-01-12,327.371
2001-01-15,329.049
2001-01-16,328.724
2001-01-17,325.241
2001-01-18,329.292
2001-01-19,337.293
2001-01-22,338.341
2001-01-23,341.085
2001-01-24,341.067
2001-01-25,341.069
2001-01-26,341.064
2001-01-29,339.516
2001-01-30,337.539
2001-01-31,338.622
2001-02-01,340.275
2001-02-02,339.086
2001-02-05,335.8
2001-02-06,338.339
2001-02-07,337.89
2001-02-08,333.134
2001-02-09,337.281
2001-02-12,338.61
2001-02-13,339.762
2001-02-14,341.041
2001-02-15,340.656
2001-02-16,340.226
2001-02-19,341.385
2001-02-20,342.003
2001-02-21,341.892
2001-02-22,340.463
2001-02-23,343.286
2001-02-26,346.636
2001-02-27,345.588
2001-02-28,341.106
2001-03-01,336.082
2001-03-02,335.898
2001-03-05,335.058
2001-03-06,342.142
2001-03-07,341.796
2001-03-08,341.354
2001-03-09,339.322
2001-03-12,324.312
2001-03-13,317.23
2001-03-14,313.245
2001-03-15,314.231
2001-03-16,317.501
2001-03-19,318.047
2001-03-20,312.945
2001-03-21,310.023
2001-03-22,300.419
2001-03-23,302.834
2001-03-26,308.648
2001-03-27,306.063
2001-03-28,305.286
2001-03-29,300.478
2001-03-30,302.407
2001-04-02,302.565
2001-04-03,299.956
2001-04-04,292.917
2001-04-05,292.912
2001-04-06,297.86
2001-04-09,293.214
2001-04-10,295.636
2001-04-11,303.308
2001-04-12,317.94
2001-04-13,317.94
2001-04-16,317.929
2001-04-17,314.291
2001-04-18,317.366
2001-04-19,327.432
2001-04-20,326.577
2001-04-23,326.952
2001-04-24,325.462
2001-04-25,323.867
2001-04-26,327.026
2001-04-27,328.855
2001-04-30,328.864
2001-05-01,328.813
2001-05-02,336.646
2001-05-03,336.826
2001-05-04,331.838
2001-05-07,332.588
2001-05-08,332.801
2001-05-09,333.013
2001-05-10,334.689
2001-05-11,338.1
2001-05-14,332.612
2001-05-15,334.047
2001-05-16,335.181
2001-05-17,337.127
2001-05-18,334.898
2001-05-21,339.007
2001-05-22,342.546
2001-05-23,343.3
2001-05-24,342.595
2001-05-25,346.757
2001-05-28,349.349
2001-05-29,348.044
2001-05-30,343.385
2001-05-31,337.391
2001-06-01,336.332
2001-06-04,339.816
2001-06-05,343.666
2001-06-06,344.551
2001-06-07,345.548
2001-06-08,345.037
2001-06-11,342.984
2001-06-12,339.922
2001-06-13,338.64
2001-06-14,330.503
2001-06-15,327.533
2001-06-18,328.218
2001-06-19,329.917
