Date,UNITED KINGDOM SMALL VALUE Small Cap
2011-07-29,742.674
2011-08-31,669.918
2011-09-30,604.827
2011-10-31,673.034
2011-11-30,645.197
2011-12-30,622.279
2012-01-31,686.394
2012-02-29,753.536
2012-03-30,767.227
2012-04-30,769.715
2012-05-31,676.114
2012-06-29,720.253
2012-07-31,729.211
2012-08-31,774.959
2012-09-28,822.937
2012-10-31,854.52
2012-11-30,858.598
2012-12-31,907.227
2013-01-31,940.651
2013-02-28,955.882
2013-03-29,987.081
2013-04-30,1032.193
2013-05-31,1048.837
2013-06-28,1011.597
2013-07-31,1097.103
2013-08-30,1121.242
2013-09-30,1210.344
2013-10-31,1265.707
2013-11-29,1281.263
2013-12-31,1346.749
2014-01-31,1317.547
2014-02-28,1444.645
2014-03-31,1398.297
2014-04-30,1369.881
2014-05-30,1366.013
2014-06-30,1369.119
2014-07-31,1337.946
2014-08-29,1336.223
2014-09-30,1257.253
2014-10-31,1250.984
2014-11-28,1247.51
2014-12-31,1269.051
2015-01-30,1243.78
2015-02-27,1371.318
2015-03-31,1300.759
2015-04-30,1383.629
2015-05-29,1431.952
2015-06-30,1439.293
2015-07-31,1431.584
2015-08-31,1372.781
2015-09-30,1323.609
2015-10-30,1383.593
2015-11-30,1359.83
2015-12-31,1346.973
2016-01-29,1233.725
2016-02-29,1228.743
2016-03-31,1311.737
2016-04-29,1341.925
2016-05-31,1365.605
2016-06-30,1183.808
2016-07-29,1247.055
2016-08-31,1272.377
2016-09-30,1278.156
2016-10-31,1183.707
2016-11-30,1208.816
2016-12-30,1236.047
2017-01-31,1262.627
2017-02-28,1297.8
2017-03-31,1314.829
2017-04-28,1409.289
2017-05-31,1427.606
2017-06-30,1396.123
2017-07-31,1460.81
2017-08-31,1437.518
2017-09-29,1515.086
2017-10-31,1529.685
2017-11-30,1531.692
2017-12-29,1606.768
2018-01-31,1655.721
2018-02-28,1549.284
2018-03-30,1583.327
2018-04-30,1644.773
2018-05-31,1609.735
2018-06-29,1583.754
2018-07-31,1575.688
2018-08-31,1542.933
2018-09-28,1516.448
2018-10-31,1393.406
2018-11-30,1337.281
2018-12-31,1267.818
2019-01-31,1414.465
2019-02-28,1464.007
2019-03-29,1428.93
2019-04-30,1469.799
2019-05-31,1351.546
2019-06-28,1393.219
2019-07-31,1347.098
2019-08-30,1324.904
2019-09-30,1400.414
2019-10-31,1487.868
2019-11-29,1552.77
2019-12-31,1686.949
2020-01-31,1616.322
2020-02-28,1425.368
2020-03-31,1018.079
2020-04-30,1128.539
2020-05-29,1119.953
2020-06-30,1124.742
2020-07-31,1154.149
2020-08-31,1246.576
2020-09-30,1166.678
2020-10-30,1156.908
2020-11-30,1415.514
2020-12-31,1559.027
2021-01-29,1547.999
2021-02-26,1664.067
2021-03-31,1713.499
2021-04-30,1817.021
2021-05-31,1899.946
2021-06-30,1793.142
2021-07-30,1840.798
2021-08-31,1935.445
2021-09-30,1795.228
2021-10-29,1818.87
2021-11-30,1708.914
2021-12-31,1841.576
2022-01-31,1750.898
2022-02-28,1678.024
2022-03-31,1647.097
2022-04-29,1555.476
2022-05-31,1544.683
2022-06-30,1352.934
2022-07-29,1448.998
2022-08-31,1306.26
2022-09-30,1109.687
2022-10-31,1211.756
2022-11-30,1349.165
2022-12-30,1355.121
2023-01-31,1486.076
2023-02-28,1484.382
2023-03-31,1415.888
2023-04-28,1491.168
2023-05-31,1409.445
2023-06-30,1402.738
2023-07-31,1502.114
2023-08-31,1436.035
2023-09-29,1376.487
2023-10-31,1274.657
2023-11-30,1437.191
2023-12-29,1597.672
2024-01-31,1556.005
2024-02-29,1517.122
2024-03-29,1623.391
2024-04-30,1612.334
2024-05-31,1721.588
2024-06-28,1653.333
2024-07-31,1809.69
2024-08-30,1846.331
2024-09-30,1883.145
2024-10-31,1734.932
2024-11-29,1745.742
2024-12-31,1699.637
2025-01-31,1734.255
2025-02-28,1698.139
2025-03-31,1691.708
2025-04-30,1822.527
2025-05-30,1971.522
2025-06-30,2062.647
2025-07-31,1978.296
2025-08-29,1991.052
2025-09-30,2039.44
