Date,FRANCE LARGE GROWTH Large Cap
2001-01-01,694.302
2001-01-02,678.4
2001-01-03,658.499
2001-01-04,680.462
2001-01-05,676.738
2001-01-08,669.018
2001-01-09,651.506
2001-01-10,654.248
2001-01-11,665.935
2001-01-12,690.456
2001-01-15,683.587
2001-01-16,674.263
2001-01-17,688.291
2001-01-18,698.663
2001-01-19,692.994
2001-01-22,695.671
2001-01-23,691.872
2001-01-24,685.176
2001-01-25,685.173
2001-01-26,686.315
2001-01-29,676.518
2001-01-30,685.469
2001-01-31,701.828
2001-02-01,696.621
2001-02-02,679.254
2001-02-05,681.452
2001-02-06,678.403
2001-02-07,664.33
2001-02-08,656.814
2001-02-09,650.254
2001-02-12,660.69
2001-02-13,652.036
2001-02-14,631.82
2001-02-15,633.778
2001-02-16,624.261
2001-02-19,623.862
2001-02-20,611.49
2001-02-21,603.144
2001-02-22,599.419
2001-02-23,579.538
2001-02-26,593.4
2001-02-27,602.39
2001-02-28,589.388
2001-03-01,584.184
2001-03-02,586.118
2001-03-05,596.453
2001-03-06,613.448
2001-03-07,612.495
2001-03-08,604.825
2001-03-09,592.984
2001-03-12,572.416
2001-03-13,563.034
2001-03-14,552.667
2001-03-15,557.133
2001-03-16,538.552
2001-03-19,533.668
2001-03-20,550.768
2001-03-21,531.212
2001-03-22,504.357
2001-03-23,529.838
2001-03-26,551.083
2001-03-27,565.183
2001-03-28,549.893
2001-03-29,543.362
2001-03-30,544.494
2001-04-02,546.241
2001-04-03,525.774
2001-04-04,544.029
2001-04-05,553.502
2001-04-06,554.005
2001-04-09,560.262
2001-04-10,573.05
2001-04-11,573.94
2001-04-12,578.168
2001-04-13,578.168
2001-04-16,572.247
2001-04-17,565.139
2001-04-18,583.685
2001-04-19,590.175
2001-04-20,593.982
2001-04-23,585.357
2001-04-24,583.997
2001-04-25,583.523
2001-04-26,597.371
2001-04-27,599.593
2001-04-30,608.107
2001-05-01,611.33
2001-05-02,604.216
2001-05-03,592.275
2001-05-04,591.648
2001-05-07,592.949
2001-05-08,591.097
2001-05-09,588.476
2001-05-10,598.751
2001-05-11,588.149
2001-05-14,574.736
2001-05-15,583.328
2001-05-16,582.142
2001-05-17,589.731
2001-05-18,588.004
2001-05-21,588.797
2001-05-22,592.587
2001-05-23,580.4
2001-05-24,579.121
2001-05-25,571.362
2001-05-28,576.876
2001-05-29,563.306
2001-05-30,552.329
2001-05-31,547.272
2001-06-01,544.628
2001-06-04,545.368
2001-06-05,554.474
2001-06-06,550.849
2001-06-07,550.024
2001-06-08,547.874
2001-06-11,541.23
2001-06-12,535.116
2001-06-13,539.889
2001-06-14,539.448
2001-06-15,534.154
2001-06-18,526.284
2001-06-19,527.499
2001-06-20,521.449
2001-06-21,517.159
2001-06-22,520.718
2001-06-25,526.91
2001-06-26,515.495
2001-06-27,510.496
2001-06-28,511.475
2001-06-29,518.54
2001-07-02,525.296
2001-07-03,514.7
2001-07-04,509.914
2001-07-05,498.088
2001-07-06,491.085
2001-07-09,498.354
2001-07-10,496.431
2001-07-11,494.638
2001-07-12,495.222
2001-07-13,500.169
2001-07-16,500.25
2001-07-17,493.201
2001-07-18,493.693
2001-07-19,502.089
2001-07-20,499.923
2001-07-23,499.569
2001-07-24,496.805
2001-07-25,490.241
2001-07-26,495.342
2001-07-27,506.763
2001-07-30,514.506
2001-07-31,521.005
2001-08-01,527.489
2001-08-02,524.961
2001-08-03,519.747
2001-08-06,520.13
2001-08-07,516.186
2001-08-08,507.704
2001-08-09,503.266
2001-08-10,502.62
2001-08-13,512.573
2001-08-14,515.429
2001-08-15,521.412
2001-08-16,517.853
2001-08-17,507.605
2001-08-20,505.363
2001-08-21,512.73
2001-08-22,515.274
2001-08-23,510.933
2001-08-24,522.154
2001-08-27,519.364
2001-08-28,508.678
2001-08-29,511.137
2001-08-30,498.011
2001-08-31,497.38
2001-09-03,491.758
2001-09-04,489.516
2001-09-05,479.382
2001-09-06,475.335
2001-09-07,475.351
2001-09-10,470.362
2001-09-11,444.172
2001-09-12,450.011
2001-09-13,449.163
2001-09-14,434.276
2001-09-17,442.362
2001-09-18,442.151
2001-09-19,435.784
2001-09-20,420.544
2001-09-21,405.738
2001-09-24,425.73
2001-09-25,432.395
2001-09-26,438.943
2001-09-27,442.544
2001-09-28,446.61
2001-10-01,443.218
2001-10-02,446.325
2001-10-03,446.773
2001-10-04,461.08
2001-10-05,461.42
2001-10-08,464.158
2001-10-09,464.524
2001-10-10,478.216
2001-10-11,470.636
2001-10-12,473.01
2001-10-15,463.663
2001-10-16,474.664
2001-10-17,483.218
2001-10-18,474.961
2001-10-19,464.633
2001-10-22,470.056
2001-10-23,481.153
2001-10-24,485.338
2001-10-25,475.619
2001-10-26,483.427
2001-10-29,479.952
2001-10-30,467.886
2001-10-31,472.085
2001-11-01,478.713
2001-11-02,477.402
2001-11-05,486.152
2001-11-06,481.666
2001-11-07,487.672
2001-11-08,489.682
2001-11-09,484.113
2001-11-12,470.629
2001-11-13,484.083
2001-11-14,484.193
2001-11-15,478.078
2001-11-16,481.517
2001-11-19,485.987
2001-11-20,481.608
2001-11-21,474.639
2001-11-22,481.213
2001-11-23,476.404
2001-11-26,477.518
2001-11-27,472.833
2001-11-28,472.346
2001-11-29,472.649
2001-11-30,479.985
2001-12-03,475.764
2001-12-04,483.762
2001-12-05,494.149
2001-12-06,494.183
2001-12-07,490.245
2001-12-10,481.4
2001-12-11,481.643
2001-12-12,479.093
2001-12-13,473.219
2001-12-14,468.494
2001-12-17,483.62
2001-12-18,480.362
2001-12-19,477.669
2001-12-20,476.15
2001-12-21,477.859
2001-12-24,473.701
2001-12-25,473.701
2001-12-26,474.105
2001-12-27,488.471
2001-12-28,487.958
2001-12-31,492.717
2002-01-01,492.717
2002-01-02,494.401
2002-01-03,499.719
2002-01-04,495.813
2002-01-07,489.498
2002-01-08,482.126
2002-01-09,485.888
2002-01-10,479.336
2002-01-11,481.326
2002-01-14,474.249
2002-01-15,482.67
2002-01-16,469.951
2002-01-17,472.38
2002-01-18,470.579
2002-01-21,468.458
2002-01-22,471.524
2002-01-23,471.647
2002-01-24,473.123
2002-01-25,463.482
2002-01-28,466.875
2002-01-29,460.028
2002-01-30,455.31
2002-01-31,460.962
2002-02-01,459.291
2002-02-04,457.57
2002-02-05,451.342
2002-02-06,447.682
2002-02-07,446.845
2002-02-08,447.038
2002-02-11,454.975
2002-02-12,451.108
2002-02-13,453.273
2002-02-14,458.11
2002-02-15,456.882
2002-02-18,451.642
2002-02-19,445.575
2002-02-20,444.069
2002-02-21,446.239
2002-02-22,445.006
2002-02-25,447.464
2002-02-26,447.474
2002-02-27,455.279
2002-02-28,457.449
2002-03-01,461.143
2002-03-04,472.329
2002-03-05,469.14
2002-03-06,472.454
2002-03-07,478.971
2002-03-08,477.269
2002-03-11,473.38
2002-03-12,469.574
2002-03-13,469.097
2002-03-14,476.018
2002-03-15,480.788
2002-03-18,482.92
2002-03-19,484.536
2002-03-20,482.674
2002-03-21,479.136
2002-03-22,478.524
2002-03-25,476.016
2002-03-26,480.207
2002-03-27,476.276
2002-03-28,482.7
2002-03-29,482.7
2002-04-01,486.656
2002-04-02,481.675
2002-04-03,480.998
2002-04-04,471.808
2002-04-05,469.826
2002-04-08,459.985
2002-04-09,462.842
2002-04-10,470.918
2002-04-11,463.737
2002-04-12,464.911
2002-04-15,467.215
2002-04-16,477.983
2002-04-17,480.232
2002-04-18,479.405
2002-04-19,479.114
2002-04-22,474.679
2002-04-23,476.545
2002-04-24,475.497
2002-04-25,473.819
2002-04-26,473.167
2002-04-29,473.094
2002-04-30,477.41
2002-05-01,480.112
2002-05-02,472.182
2002-05-03,470.275
2002-05-06,475.743
2002-05-07,465.294
2002-05-08,473.097
2002-05-09,470.762
2002-05-10,466.83
2002-05-13,472.609
2002-05-14,475.893
2002-05-15,480.097
2002-05-16,481.533
2002-05-17,485.105
2002-05-20,481.186
2002-05-21,479.137
2002-05-22,474.732
2002-05-23,473.054
2002-05-24,474.583
2002-05-27,476.199
2002-05-28,479.261
2002-05-29,480.736
2002-05-30,477.039
2002-05-31,473.999
2002-06-03,469.708
2002-06-04,453.292
2002-06-05,453.829
2002-06-06,459.141
2002-06-07,452.157
2002-06-10,452.569
2002-06-11,460.908
2002-06-12,451.995
2002-06-13,449.218
2002-06-14,439.774
2002-06-17,457.671
2002-06-18,459.389
2002-06-19,457.199
2002-06-20,452.45
2002-06-21,450.233
2002-06-24,440.849
2002-06-25,449.859
2002-06-26,453.608
2002-06-27,456.825
2002-06-28,478.23
2002-07-01,475.291
2002-07-02,459.495
2002-07-03,443.073
2002-07-04,451.994
2002-07-05,467.516
2002-07-08,475.477
2002-07-09,474.83
2002-07-10,450.332
2002-07-11,433.581
2002-07-12,434.055
2002-07-15,417.858
2002-07-16,416.696
2002-07-17,430.213
2002-07-18,440.397
2002-07-19,420.279
2002-07-22,395.17
2002-07-23,381.181
2002-07-24,377.678
2002-07-25,393.358
2002-07-26,394.588
2002-07-29,418.344
2002-07-30,420.791
2002-07-31,422.703
2002-08-01,401.654
2002-08-02,406.134
2002-08-05,391.564
2002-08-06,404.351
2002-08-07,405.716
2002-08-08,418.507
2002-08-09,424.063
2002-08-12,414.28
2002-08-13,419.103
2002-08-14,405.494
2002-08-15,420.095
2002-08-16,422.326
2002-08-19,429.976
2002-08-20,418.91
2002-08-21,422.573
2002-08-22,429.905
2002-08-23,423.077
2002-08-26,415.227
2002-08-27,430.213
2002-08-28,413.865
2002-08-29,406.795
2002-08-30,413.308
2002-09-02,401.819
2002-09-03,389.488
2002-09-04,396.895
2002-09-05,397.561
2002-09-06,408.687
2002-09-09,401.13
2002-09-10,411.201
2002-09-11,422.099
2002-09-12,405.615
2002-09-13,396.882
2002-09-16,393.578
2002-09-17,389.774
2002-09-18,382.978
2002-09-19,377.597
2002-09-20,372.792
2002-09-23,365.067
2002-09-24,359.0
2002-09-25,365.306
2002-09-26,387.823
2002-09-27,386.276
2002-09-30,372.954
2002-10-01,381.384
2002-10-02,396.471
2002-10-03,389.001
2002-10-04,376.518
2002-10-07,372.923
2002-10-08,366.026
2002-10-09,366.272
2002-10-10,376.617
2002-10-11,390.306
2002-10-14,389.531
2002-10-15,408.093
2002-10-16,402.356
2002-10-17,410.552
2002-10-18,406.537
2002-10-21,408.018
2002-10-22,407.017
2002-10-23,391.728
2002-10-24,400.484
2002-10-25,399.844
2002-10-28,406.395
2002-10-29,388.71
2002-10-30,401.841
2002-10-31,412.823
2002-11-01,410.979
2002-11-04,419.237
2002-11-05,422.577
2002-11-06,416.563
2002-11-07,410.469
2002-11-08,407.535
2002-11-11,407.88
2002-11-12,408.255
2002-11-13,403.428
2002-11-14,414.004
2002-11-15,415.493
2002-11-18,421.158
2002-11-19,420.356
2002-11-20,412.663
2002-11-21,424.627
2002-11-22,419.15
2002-11-25,413.978
2002-11-26,405.986
2002-11-27,417.946
2002-11-28,419.396
2002-11-29,416.611
2002-12-02,408.488
2002-12-03,401.309
2002-12-04,405.57
2002-12-05,399.841
2002-12-06,406.704
2002-12-09,400.042
2002-12-10,405.43
2002-12-11,409.659
2002-12-12,404.685
2002-12-13,399.889
2002-12-16,408.422
2002-12-17,409.075
2002-12-18,403.137
2002-12-19,402.009
2002-12-20,406.445
2002-12-23,409.762
2002-12-24,410.595
2002-12-25,410.595
2002-12-26,411.631
2002-12-27,405.152
2002-12-30,411.373
2002-12-31,417.963
2003-01-01,417.963
2003-01-02,426.784
2003-01-03,425.109
2003-01-06,431.241
2003-01-07,422.285
2003-01-08,411.265
2003-01-09,421.946
2003-01-10,420.734
2003-01-13,419.311
2003-01-14,420.121
2003-01-15,413.773
2003-01-16,412.553
2003-01-17,406.55
2003-01-20,402.223
2003-01-21,399.258
2003-01-22,391.116
2003-01-23,389.002
2003-01-24,387.561
2003-01-27,373.574
2003-01-28,373.893
2003-01-29,385.409
2003-01-30,389.738
2003-01-31,390.695
2003-02-03,391.832
2003-02-04,384.897
2003-02-05,383.885
2003-02-06,377.317
2003-02-07,372.11
2003-02-10,366.895
2003-02-11,373.188
2003-02-12,364.944
2003-02-13,365.554
2003-02-14,372.596
2003-02-17,378.507
2003-02-18,387.124
2003-02-19,378.829
2003-02-20,376.419
2003-02-21,382.596
2003-02-24,379.38
2003-02-25,368.092
2003-02-26,368.928
2003-02-27,371.431
2003-02-28,376.114
2003-03-03,382.966
2003-03-04,375.912
2003-03-05,375.29
2003-03-06,374.756
2003-03-07,367.967
2003-03-10,362.242
2003-03-11,359.805
2003-03-12,344.778
2003-03-13,360.118
2003-03-14,375.426
2003-03-17,386.891
2003-03-18,378.616
2003-03-19,383.168
2003-03-20,381.597
2003-03-21,390.915
2003-03-24,373.963
2003-03-25,385.841
2003-03-26,382.821
2003-03-27,375.849
2003-03-28,378.281
2003-03-31,368.041
2003-04-01,372.203
2003-04-02,381.934
2003-04-03,384.643
2003-04-04,390.406
2003-04-07,394.858
2003-04-08,391.93
2003-04-09,393.381
2003-04-10,387.84
2003-04-11,389.833
2003-04-14,394.399
2003-04-15,399.379
2003-04-16,396.942
2003-04-17,400.414
2003-04-18,400.414
2003-04-21,398.688
2003-04-22,403.544
2003-04-23,405.968
2003-04-24,401.964
2003-04-25,396.776
2003-04-28,407.208
2003-04-29,404.449
2003-04-30,411.629
2003-05-01,415.41
2003-05-02,417.113
2003-05-05,423.056
2003-05-06,432.197
2003-05-07,428.184
2003-05-08,421.06
2003-05-09,428.019
2003-05-12,428.917
2003-05-13,426.94
2003-05-14,424.96
2003-05-15,430.534
2003-05-16,434.48
2003-05-19,423.04
2003-05-20,423.966
2003-05-21,427.808
2003-05-22,429.839
2003-05-23,431.815
2003-05-26,433.228
2003-05-27,435.489
2003-05-28,438.439
2003-05-29,442.856
2003-05-30,441.495
2003-06-02,449.69
2003-06-03,447.899
2003-06-04,449.819
2003-06-05,449.058
2003-06-06,450.142
2003-06-09,446.781
2003-06-10,448.132
2003-06-11,456.177
2003-06-12,459.925
2003-06-13,458.212
2003-06-16,468.977
2003-06-17,471.866
2003-06-18,472.668
2003-06-19,467.025
2003-06-20,468.38
2003-06-23,453.933
2003-06-24,452.03
2003-06-25,453.651
2003-06-26,444.942
2003-06-27,442.754
2003-06-30,442.865
2003-07-01,436.978
2003-07-02,442.097
2003-07-03,442.848
2003-07-04,437.532
2003-07-07,446.185
2003-07-08,442.589
2003-07-09,440.054
2003-07-10,436.126
2003-07-11,439.7
2003-07-14,444.804
2003-07-15,439.059
2003-07-16,433.001
2003-07-17,430.501
2003-07-18,431.387
2003-07-21,429.423
2003-07-22,432.493
2003-07-23,436.649
2003-07-24,447.431
2003-07-25,439.865
2003-07-28,444.632
2003-07-29,440.916
2003-07-30,436.838
2003-07-31,434.851
2003-08-01,427.014
2003-08-04,425.917
2003-08-05,432.376
2003-08-06,425.093
2003-08-07,428.324
2003-08-08,431.884
2003-08-11,435.3
2003-08-12,435.309
2003-08-13,435.548
2003-08-14,440.86
2003-08-15,441.388
2003-08-18,440.968
2003-08-19,437.348
2003-08-20,435.235
2003-08-21,434.236
2003-08-22,435.179
2003-08-25,432.765
2003-08-26,427.761
2003-08-27,431.452
2003-08-28,439.673
2003-08-29,442.366
2003-09-01,449.353
2003-09-02,445.866
2003-09-03,448.761
2003-09-04,451.151
2003-09-05,455.478
2003-09-08,460.721
2003-09-09,462.506
2003-09-10,459.917
2003-09-11,462.275
2003-09-12,464.443
2003-09-15,465.58
2003-09-16,467.099
2003-09-17,470.457
2003-09-18,473.733
2003-09-19,472.48
2003-09-22,464.952
2003-09-23,463.128
2003-09-24,462.167
2003-09-25,460.863
2003-09-26,456.473
2003-09-29,456.476
2003-09-30,452.885
2003-10-01,462.784
2003-10-02,461.721
2003-10-03,474.12
2003-10-06,471.422
2003-10-07,472.714
2003-10-08,471.817
2003-10-09,479.498
2003-10-10,479.36
2003-10-13,482.664
2003-10-14,480.07
2003-10-15,480.763
2003-10-16,479.449
2003-10-17,478.612
2003-10-20,479.441
2003-10-21,482.145
2003-10-22,478.71
2003-10-23,472.898
2003-10-24,474.892
2003-10-27,476.786
2003-10-28,480.387
2003-10-29,480.912
2003-10-30,480.812
2003-10-31,475.231
2003-11-03,478.157
2003-11-04,478.377
2003-11-05,473.343
2003-11-06,473.866
2003-11-07,481.483
2003-11-10,477.595
2003-11-11,475.892
2003-11-12,480.665
2003-11-13,483.885
2003-11-14,493.767
2003-11-17,484.097
2003-11-18,489.099
2003-11-19,488.531
2003-11-20,484.702
2003-11-21,490.437
2003-11-24,491.915
2003-11-25,491.974
2003-11-26,495.306
2003-11-27,496.359
2003-11-28,498.939
2003-12-01,507.297
2003-12-02,507.585
2003-12-03,511.439
2003-12-04,508.233
2003-12-05,504.389
2003-12-08,504.023
2003-12-09,506.494
2003-12-10,505.925
2003-12-11,506.938
2003-12-12,510.859
2003-12-15,516.421
2003-12-16,518.407
2003-12-17,521.331
2003-12-18,524.668
2003-12-19,522.137
2003-12-22,523.397
2003-12-23,525.002
2003-12-24,528.425
2003-12-25,528.425
2003-12-26,528.213
2003-12-29,531.057
2003-12-30,533.837
2003-12-31,542.34
2004-01-01,542.34
2004-01-02,547.22
2004-01-05,551.765
2004-01-06,553.127
2004-01-07,545.296
2004-01-08,551.486
2004-01-09,551.412
2004-01-12,547.266
2004-01-13,549.207
2004-01-14,552.166
2004-01-15,548.811
2004-01-16,547.138
2004-01-19,549.375
2004-01-20,553.361
2004-01-21,558.92
2004-01-22,568.356
2004-01-23,565.939
2004-01-26,558.157
2004-01-27,561.938
2004-01-28,563.461
2004-01-29,548.503
2004-01-30,549.952
2004-02-02,552.464
2004-02-03,554.031
2004-02-04,546.601
2004-02-05,552.141
2004-02-06,558.368
2004-02-09,561.935
2004-02-10,563.066
2004-02-11,561.701
2004-02-12,569.139
2004-02-13,560.856
2004-02-16,564.256
2004-02-17,571.428
2004-02-18,573.671
2004-02-19,575.789
2004-02-20,565.85
2004-02-23,562.653
2004-02-24,561.186
2004-02-25,560.236
2004-02-26,558.739
2004-02-27,560.715
2004-03-01,566.756
2004-03-02,564.12
2004-03-03,551.468
2004-03-04,555.635
2004-03-05,564.382
2004-03-08,564.249
2004-03-09,562.757
2004-03-10,555.524
2004-03-11,540.883
2004-03-12,544.665
2004-03-15,531.671
2004-03-16,537.33
