Date,CANADA SMALL VALUE Small Cap
2001-01-01,271.179
2001-01-02,270.098
2001-01-03,269.107
2001-01-04,266.071
2001-01-05,266.018
2001-01-08,266.547
2001-01-09,267.164
2001-01-10,267.469
2001-01-11,271.292
2001-01-12,269.198
2001-01-15,269.443
2001-01-16,270.364
2001-01-17,269.279
2001-01-18,265.739
2001-01-19,268.634
2001-01-22,270.05
2001-01-23,270.689
2001-01-24,270.33
2001-01-25,271.074
2001-01-26,271.982
2001-01-29,273.885
2001-01-30,274.805
2001-01-31,274.079
2001-02-01,276.147
2001-02-02,278.859
2001-02-05,278.99
2001-02-06,277.735
2001-02-07,275.698
2001-02-08,276.756
2001-02-09,276.337
2001-02-12,274.785
2001-02-13,275.187
2001-02-14,273.795
2001-02-15,273.565
2001-02-16,271.898
2001-02-19,272.471
2001-02-20,271.082
2001-02-21,265.586
2001-02-22,266.22
2001-02-23,264.66
2001-02-26,266.988
2001-02-27,268.946
2001-02-28,268.137
2001-03-01,265.547
2001-03-02,265.674
2001-03-05,269.683
2001-03-06,273.304
2001-03-07,273.331
2001-03-08,275.584
2001-03-09,276.099
2001-03-12,272.247
2001-03-13,272.74
2001-03-14,270.444
2001-03-15,268.669
2001-03-16,265.932
2001-03-19,271.194
2001-03-20,269.909
2001-03-21,265.162
2001-03-22,260.901
2001-03-23,261.527
2001-03-26,264.728
2001-03-27,263.692
2001-03-28,260.49
2001-03-29,260.539
2001-03-30,264.353
2001-04-02,265.978
2001-04-03,262.674
2001-04-04,264.773
2001-04-05,264.906
2001-04-06,265.992
2001-04-09,267.676
2001-04-10,272.288
2001-04-11,272.928
2001-04-12,274.634
2001-04-13,274.67
2001-04-16,275.366
2001-04-17,276.967
2001-04-18,277.289
2001-04-19,278.898
2001-04-20,281.153
2001-04-23,279.14
2001-04-24,279.942
2001-04-25,281.667
2001-04-26,282.659
2001-04-27,284.241
2001-04-30,286.173
2001-05-01,286.879
2001-05-02,287.538
2001-05-03,286.247
2001-05-04,287.088
2001-05-07,288.034
2001-05-08,287.386
2001-05-09,289.544
2001-05-10,292.613
2001-05-11,290.698
2001-05-14,289.937
2001-05-15,291.282
2001-05-16,295.553
2001-05-17,297.814
2001-05-18,299.188
2001-05-21,299.836
2001-05-22,301.361
2001-05-23,299.835
2001-05-24,299.478
2001-05-25,297.716
2001-05-28,297.495
2001-05-29,297.907
2001-05-30,295.042
2001-05-31,297.231
2001-06-01,301.807
2001-06-04,302.28
2001-06-05,301.823
2001-06-06,301.26
2001-06-07,301.108
2001-06-08,300.162
2001-06-11,301.574
2001-06-12,301.202
2001-06-13,302.556
2001-06-14,300.246
2001-06-15,300.078
2001-06-18,297.536
2001-06-19,294.9
2001-06-20,294.141
2001-06-21,291.821
2001-06-22,291.061
2001-06-25,291.995
2001-06-26,291.313
2001-06-27,289.303
2001-06-28,288.839
2001-06-29,290.272
2001-07-02,290.745
2001-07-03,294.087
2001-07-04,292.685
2001-07-05,295.277
2001-07-06,293.9
2001-07-09,292.353
2001-07-10,291.743
2001-07-11,288.578
2001-07-12,290.381
2001-07-13,291.256
2001-07-16,288.698
2001-07-17,290.489
2001-07-18,291.987
2001-07-19,292.428
2001-07-20,290.666
2001-07-23,288.854
2001-07-24,287.745
2001-07-25,287.084
2001-07-26,287.475
2001-07-27,288.243
2001-07-30,288.447
2001-07-31,290.271
2001-08-01,290.327
2001-08-02,290.915
2001-08-03,292.661
2001-08-06,294.194
2001-08-07,291.28
2001-08-08,291.532
2001-08-09,289.889
2001-08-10,288.577
2001-08-13,288.83
2001-08-14,287.861
2001-08-15,290.122
2001-08-16,290.244
2001-08-17,287.057
2001-08-20,287.185
2001-08-21,286.786
2001-08-22,287.296
2001-08-23,288.314
2001-08-24,289.104
2001-08-27,289.061
2001-08-28,288.476
2001-08-29,286.518
2001-08-30,282.866
2001-08-31,281.96
2001-09-03,281.793
2001-09-04,282.14
2001-09-05,284.446
2001-09-06,282.901
2001-09-07,280.563
2001-09-10,276.519
2001-09-11,264.813
2001-09-12,267.096
2001-09-13,267.712
2001-09-14,259.576
2001-09-17,263.77
2001-09-18,263.365
2001-09-19,256.368
2001-09-20,248.294
2001-09-21,248.783
2001-09-24,250.749
2001-09-25,251.21
2001-09-26,250.543
2001-09-27,248.033
2001-09-28,251.702
2001-10-01,250.889
2001-10-02,252.339
2001-10-03,252.913
2001-10-04,254.838
2001-10-05,254.641
2001-10-08,254.987
2001-10-09,254.137
2001-10-10,255.114
2001-10-11,260.213
2001-10-12,257.714
2001-10-15,258.159
2001-10-16,258.811
2001-10-17,257.906
2001-10-18,254.668
2001-10-19,253.852
2001-10-22,254.084
2001-10-23,254.984
2001-10-24,255.514
2001-10-25,254.075
2001-10-26,254.647
2001-10-29,253.607
2001-10-30,250.467
2001-10-31,249.269
2001-11-01,250.327
2001-11-02,250.263
2001-11-05,250.769
2001-11-06,252.061
2001-11-07,253.614
2001-11-08,253.069
2001-11-09,252.583
2001-11-12,253.494
2001-11-13,255.855
2001-11-14,257.677
2001-11-15,258.158
2001-11-16,258.948
2001-11-19,261.306
2001-11-20,260.117
2001-11-21,258.533
2001-11-22,259.342
2001-11-23,260.982
2001-11-26,260.434
2001-11-27,260.622
2001-11-28,261.257
2001-11-29,263.54
2001-11-30,265.052
2001-12-03,263.951
2001-12-04,266.691
2001-12-05,271.304
2001-12-06,269.447
2001-12-07,271.383
2001-12-10,270.297
2001-12-11,270.66
2001-12-12,274.384
2001-12-13,272.024
2001-12-14,271.643
2001-12-17,273.589
2001-12-18,272.577
2001-12-19,271.626
2001-12-20,272.657
2001-12-21,272.563
2001-12-24,272.503
2001-12-25,272.724
2001-12-26,272.623
2001-12-27,276.312
2001-12-28,278.611
2001-12-31,279.755
2002-01-01,279.674
2002-01-02,278.763
2002-01-03,281.104
2002-01-04,282.629
2002-01-07,283.104
2002-01-08,283.453
2002-01-09,285.217
2002-01-10,284.465
2002-01-11,284.566
2002-01-14,284.068
2002-01-15,283.47
2002-01-16,282.272
2002-01-17,280.503
2002-01-18,279.565
2002-01-21,280.287
2002-01-22,281.321
2002-01-23,282.237
2002-01-24,285.117
2002-01-25,282.78
2002-01-28,283.198
2002-01-29,288.29
2002-01-30,286.183
2002-01-31,288.891
2002-02-01,290.848
2002-02-04,288.838
2002-02-05,286.72
2002-02-06,284.51
2002-02-07,285.347
2002-02-08,287.414
2002-02-11,291.323
2002-02-12,290.992
2002-02-13,292.631
2002-02-14,294.119
2002-02-15,292.912
2002-02-18,293.718
2002-02-19,295.129
2002-02-20,293.1
2002-02-21,291.994
2002-02-22,290.845
2002-02-25,290.672
2002-02-26,290.991
2002-02-27,292.587
2002-02-28,297.005
2002-03-01,300.086
2002-03-04,304.796
2002-03-05,305.956
2002-03-06,309.828
2002-03-07,311.99
2002-03-08,311.26
2002-03-11,310.881
2002-03-12,311.397
2002-03-13,311.291
2002-03-14,310.302
2002-03-15,314.521
2002-03-18,315.263
2002-03-19,318.332
2002-03-20,317.363
2002-03-21,316.71
2002-03-22,318.481
2002-03-25,316.116
2002-03-26,312.696
2002-03-27,316.152
2002-03-28,315.865
2002-03-29,315.617
2002-04-01,317.802
2002-04-02,318.624
2002-04-03,319.173
2002-04-04,318.41
2002-04-05,318.202
2002-04-08,320.109
2002-04-09,318.491
2002-04-10,321.553
2002-04-11,320.87
2002-04-12,320.712
2002-04-15,320.006
2002-04-16,323.263
2002-04-17,326.215
2002-04-18,325.943
2002-04-19,326.637
2002-04-22,325.134
2002-04-23,323.226
2002-04-24,323.638
2002-04-25,323.246
2002-04-26,323.89
2002-04-29,322.225
2002-04-30,321.763
2002-05-01,323.125
2002-05-02,323.772
2002-05-03,324.01
2002-05-06,322.402
2002-05-07,321.37
2002-05-08,323.406
2002-05-09,324.069
2002-05-10,326.225
2002-05-13,328.614
2002-05-14,330.298
2002-05-15,332.504
2002-05-16,333.623
2002-05-17,336.818
2002-05-20,337.261
2002-05-21,338.63
2002-05-22,338.83
2002-05-23,340.163
2002-05-24,341.102
2002-05-27,340.69
2002-05-28,342.667
2002-05-29,343.649
2002-05-30,339.852
2002-05-31,342.9
2002-06-03,342.144
2002-06-04,343.331
2002-06-05,342.255
2002-06-06,342.358
2002-06-07,339.376
2002-06-10,339.273
2002-06-11,338.088
2002-06-12,337.132
2002-06-13,331.494
2002-06-14,324.615
2002-06-17,325.554
2002-06-18,326.419
2002-06-19,325.566
2002-06-20,326.284
2002-06-21,325.79
2002-06-24,327.254
2002-06-25,323.587
2002-06-26,322.246
2002-06-27,325.263
2002-06-28,324.661
2002-07-01,325.235
2002-07-02,319.559
2002-07-03,315.9
2002-07-04,315.221
2002-07-05,319.323
2002-07-08,320.365
2002-07-09,322.485
2002-07-10,318.68
2002-07-11,314.379
2002-07-12,312.085
2002-07-15,305.996
2002-07-16,305.484
2002-07-17,307.791
2002-07-18,305.114
2002-07-19,300.399
2002-07-22,290.551
2002-07-23,278.838
2002-07-24,280.027
2002-07-25,277.513
2002-07-26,276.475
2002-07-29,284.854
2002-07-30,284.751
2002-07-31,285.016
2002-08-01,282.994
2002-08-02,283.361
2002-08-05,282.308
2002-08-06,279.551
2002-08-07,279.387
2002-08-08,281.603
2002-08-09,284.464
2002-08-12,282.148
2002-08-13,282.445
2002-08-14,283.601
2002-08-15,284.096
2002-08-16,284.667
2002-08-19,285.474
2002-08-20,283.74
2002-08-21,286.434
2002-08-22,290.036
2002-08-23,287.295
2002-08-26,288.192
2002-08-27,289.088
2002-08-28,285.518
2002-08-29,285.898
2002-08-30,286.594
2002-09-02,287.432
2002-09-03,283.651
2002-09-04,282.655
2002-09-05,281.644
2002-09-06,280.892
2002-09-09,280.806
2002-09-10,280.95
2002-09-11,282.148
2002-09-12,279.054
2002-09-13,277.557
2002-09-16,277.805
2002-09-17,275.892
2002-09-18,271.95
2002-09-19,270.126
2002-09-20,269.07
2002-09-23,262.561
2002-09-24,261.427
2002-09-25,265.743
2002-09-26,267.76
2002-09-27,268.071
2002-09-30,267.624
2002-10-01,269.64
2002-10-02,267.774
2002-10-03,264.402
2002-10-04,259.992
2002-10-07,255.262
2002-10-08,253.025
2002-10-09,246.688
2002-10-10,249.143
2002-10-11,255.428
2002-10-14,255.917
2002-10-15,262.182
2002-10-16,259.88
2002-10-17,266.565
2002-10-18,267.906
2002-10-21,270.906
2002-10-22,271.491
2002-10-23,274.304
2002-10-24,275.649
2002-10-25,276.927
2002-10-28,279.137
2002-10-29,275.921
2002-10-30,275.807
2002-10-31,276.674
2002-11-01,278.314
2002-11-04,279.438
2002-11-05,278.552
2002-11-06,279.569
2002-11-07,279.354
2002-11-08,277.994
2002-11-11,274.421
2002-11-12,272.997
2002-11-13,270.721
2002-11-14,272.584
2002-11-15,275.451
2002-11-18,275.166
2002-11-19,272.697
2002-11-20,273.202
2002-11-21,275.751
2002-11-22,275.31
2002-11-25,278.157
2002-11-26,277.306
2002-11-27,280.216
2002-11-28,283.692
2002-11-29,287.324
2002-12-02,289.624
2002-12-03,285.665
2002-12-04,285.392
2002-12-05,282.993
2002-12-06,282.568
2002-12-09,281.77
2002-12-10,283.793
2002-12-11,284.373
2002-12-12,286.469
2002-12-13,286.613
2002-12-16,287.437
2002-12-17,288.228
2002-12-18,287.701
2002-12-19,288.441
2002-12-20,288.275
2002-12-23,290.544
2002-12-24,290.995
2002-12-25,290.995
2002-12-26,290.33
2002-12-27,288.086
2002-12-30,287.18
2002-12-31,287.283
2003-01-01,287.283
2003-01-02,291.861
2003-01-03,295.097
2003-01-06,296.191
2003-01-07,295.912
2003-01-08,295.024
2003-01-09,297.255
2003-01-10,300.637
2003-01-13,302.607
2003-01-14,303.699
2003-01-15,303.393
2003-01-16,304.945
2003-01-17,302.074
2003-01-20,298.954
2003-01-21,299.484
2003-01-22,299.02
2003-01-23,300.094
2003-01-24,297.564
2003-01-27,293.393
2003-01-28,290.628
2003-01-29,291.471
2003-01-30,291.028
2003-01-31,291.663
2003-02-03,293.293
2003-02-04,292.836
2003-02-05,290.696
2003-02-06,288.117
2003-02-07,285.958
2003-02-10,283.769
2003-02-11,286.137
