Date,SPAIN IMI IMI (Large+Mid+Small Cap)
2001-01-01,328.546
2001-01-02,331.171
2001-01-03,334.024
2001-01-04,346.338
2001-01-05,348.606
2001-01-08,348.338
2001-01-09,342.679
2001-01-10,343.469
2001-01-11,350.378
2001-01-12,355.956
2001-01-15,353.154
2001-01-16,347.751
2001-01-17,353.198
2001-01-18,359.94
2001-01-19,353.57
2001-01-22,355.765
2001-01-23,358.8
2001-01-24,354.141
2001-01-25,352.919
2001-01-26,352.449
2001-01-29,346.989
2001-01-30,351.945
2001-01-31,356.652
2001-02-01,360.638
2001-02-02,349.932
2001-02-05,352.124
2001-02-06,351.922
2001-02-07,349.92
2001-02-08,348.705
2001-02-09,347.661
2001-02-12,354.565
2001-02-13,349.75
2001-02-14,338.525
2001-02-15,336.361
2001-02-16,338.279
2001-02-19,342.237
2001-02-20,332.215
2001-02-21,329.763
2001-02-22,323.502
2001-02-23,320.87
2001-02-26,326.095
2001-02-27,331.448
2001-02-28,331.672
2001-03-01,333.368
2001-03-02,338.911
2001-03-05,340.141
2001-03-06,347.729
2001-03-07,347.107
2001-03-08,345.098
2001-03-09,342.655
2001-03-12,334.034
2001-03-13,330.027
2001-03-14,324.144
2001-03-15,325.17
2001-03-16,315.912
2001-03-19,315.085
2001-03-20,316.68
2001-03-21,304.139
2001-03-22,288.191
2001-03-23,299.558
2001-03-26,308.366
2001-03-27,315.377
2001-03-28,309.136
2001-03-29,308.329
2001-03-30,312.343
2001-04-02,312.297
2001-04-03,304.122
2001-04-04,315.263
2001-04-05,318.797
2001-04-06,319.49
2001-04-09,324.259
2001-04-10,324.873
2001-04-11,323.766
2001-04-12,328.216
2001-04-13,328.216
2001-04-16,324.855
2001-04-17,320.223
2001-04-18,324.943
2001-04-19,330.568
2001-04-20,328.213
2001-04-23,318.235
2001-04-24,322.011
2001-04-25,321.002
2001-04-26,327.421
2001-04-27,327.352
2001-04-30,329.615
2001-05-01,331.362
2001-05-02,327.522
2001-05-03,324.065
2001-05-04,325.896
2001-05-07,325.802
2001-05-08,325.822
2001-05-09,325.496
2001-05-10,329.092
2001-05-11,323.471
2001-05-14,319.799
2001-05-15,323.232
2001-05-16,323.632
2001-05-17,324.774
2001-05-18,325.569
2001-05-21,322.911
2001-05-22,317.871
2001-05-23,315.841
2001-05-24,313.894
2001-05-25,309.303
2001-05-28,312.919
2001-05-29,308.841
2001-05-30,308.526
2001-05-31,307.318
2001-06-01,303.834
2001-06-04,309.189
2001-06-05,310.497
2001-06-06,308.016
2001-06-07,308.883
